


<NUL>

Serial communication
Type 'h or ?' for help.


/> 
read_ramp 05121102
<CR>Time:2021/05/12 14:35Ramp data first polarity: 
244 244 244 243 243 243 245 244 244 244 243 244 245 244 243 243 243 244 244 244 243 243 243 244 244 244 243 244 243 243 244 244 244 244 244 243 244 244 244 243 243 243 244 244 243 243 244 243 243 244 244 243 243 243 243 244 243 243 244 244 244 245 244 244 246 247 248 249 250 253 255 258 260 262 263 265 267 267 269 271 271 274 276 278 279 280 282 283 284 286 288 291 291 293 294 296 297 299 301 302 303 305 307 308 310 311 313 314 316 318 319 321 322 324 325 327 328 330 331 333 334 336 338 339 340 342 343 345 347 348 349 350 352 353 356 357 358 360 362 363 365 365 366 369 370 371 374 375 377 377 379 381 382 383 384 386 388 390 392 392 393 395 397 398 400 401 403 404 405 407 409 410 411 413 414 415 417 419 420 422 423 424 426 427 429 430 431 433 434 436 437 438 439 441 442 445 445 446 448 450 451 453 454 456 456 457 459 462 461 463 465 467 468 470 471 471 473 475 476 478 479 480 481 483 484 486 488 488 490 491 492 494 495 496 497 499 500 501 503 505 505 507 507 509 510 509 511 512 512 513 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0512
<CR>Time:2021/05/12 14:35
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 17 29 224 11253 
8 17 44 219 15225 
8 17 59 224 16007 
8 18 14 224 16007 
8 18 29 224 16007 
8 18 44 224 16007 
8 18 59 224 16007 
8 19 14 224 16007 
8 19 29 224 16007 
8 19 44 224 16007 
8 19 59 224 16007 
8 20 14 224 16007 
8 20 29 224 16007 
8 20 44 224 16007 
8 20 59 224 16067 
8 21 14 224 16007 
8 21 29 224 16067 
8 21 44 224 16067 
8 21 59 224 16067 
8 22 14 224 16067 
8 22 29 224 16067 
8 22 44 224 16067 
8 22 59 224 16067 
8 23 14 224 16067 
8 23 29 224 16067 
8 23 44 224 16067 
8 23 59 224 16067 
8 24 14 224 16067 
8 24 29 224 16067 
8 24 44 224 16067 
8 24 59 224 16067 
8 25 14 224 16067 
8 25 29 224 16067 
8 25 44 224 16067 
8 25 59 224 16067 
8 26 14 224 16067 
8 26 29 224 16067 
8 26 44 224 16067 
8 26 59 224 16067 
8 27 14 224 16067 
8 27 29 224 16067 
8 27 44 224 16067 
8 27 59 224 16067 
8 28 14 224 16067 
8 28 29 224 16067 
8 28 44 224 16067 
8 28 59 223 16067 
8 29 14 224 16067 
8 29 29 224 16067 
8 29 44 224 16067 
8 29 59 224 16067 
8 30 14 224 16067 
8 30 29 224 16067 
8 30 44 224 16067 
8 30 59 224 16067 
8 31 14 224 16067 
8 31 29 224 16067 
8 32 21 224 16067 
8 32 36 224 16067 
8 32 51 224 16067 
8 33 6 224 16067 
8 33 21 224 16067 
8 33 36 224 16067 
8 33 51 224 16067 
8 34 6 224 16067 
8 34 21 224 16067 
8 34 36 224 16067 
8 34 51 224 16067 
8 35 6 224 16067 
8 35 21 224 16067 
8 35 36 224 16067 
8 35 51 224 16067 
8 36 6 224 16067 
8 36 21 224 16067 
8 36 36 224 16067 
8 36 51 224 16067 
8 37 6 224 16067 
8 37 21 224 16067 
8 37 36 224 16067 
8 37 51 224 16067 
8 38 6 224 16067 
8 38 21 224 16067 
8 38 36 224 16067 
8 38 51 224 16067 
8 39 6 224 16067 
8 39 21 224 16067 
8 39 36 224 16067 
8 39 51 224 16067 
8 40 6 224 16067 
8 40 21 224 16067 
8 40 36 224 16067 
8 40 51 224 16067 
8 41 6 224 16067 
8 41 21 224 16067 
8 41 36 224 16067 
8 41 51 224 16067 
8 42 6 224 16067 
8 42 21 224 16067 
8 42 36 224 16067 
8 42 51 224 16067 
8 43 6 224 16067 
8 43 21 224 16067 
8 43 36 224 16067 
8 43 51 224 16067 
8 44 6 223 16067 
8 44 21 224 16067 
8 44 36 224 16067 
8 44 51 224 16067 
8 45 6 224 16067 
