
/> 
read_ramp 05131109 
<CR>Time:2021/05/13 15:26Ramp data first polarity: 
244 245 245 245 245 244 245 244 245 245 246 246 244 244 244 245 244 245 245 245 246 245 244 244 244 245 245 244 245 245 244 245 245 244 244 244 244 245 245 244 244 244 244 245 245 245 245 245 244 245 245 246 245 245 246 245 245 245 245 244 245 245 245 256 244 248 250 250 252 255 257 258 261 262 264 265 267 268 271 273 274 275 276 277 280 282 283 284 286 288 289 290 292 294 295 297 299 300 302 303 304 306 308 309 310 312 314 316 316 318 319 322 323 325 327 328 329 330 332 333 335 336 338 340 341 342 345 346 347 348 350 351 354 354 355 357 358 361 362 363 366 367 367 369 370 372 373 375 377 379 380 381 382 384 385 388 388 390 392 392 395 396 397 400 400 401 404 405 406 407 409 410 412 414 415 417 418 419 421 422 423 425 426 428 430 431 431 433 435 436 438 439 441 443 443 444 446 447 449 450 452 453 454 456 456 458 459 461 462 463 465 467 468 470 471 473 475 476 477 478 479 480 482 483 485 486 488 489 489 492 493 493 495 496 498 500 501 502 502 503 506 507 508 510 510 510 511 511 512 513 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0513
<CR>Time:2021/05/13 15:26
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 36 18 224 15766 
8 36 33 219 16067 
8 40 33 224 16007 
8 40 48 224 16007 
8 41 3 224 16007 
8 41 18 224 16007 
8 41 33 224 16007 
8 41 48 224 16007 
8 42 3 224 16007 
8 42 18 224 16007 
8 42 33 224 16007 
8 42 48 224 16007 
8 43 3 224 16007 
8 43 18 224 16007 
8 43 33 224 16007 
8 43 48 224 16007 
8 44 3 224 16007 
8 44 18 224 16067 
8 44 33 224 16007 
8 44 48 224 16007 
8 45 3 224 16067 
8 45 18 224 16067 
8 45 33 224 16007 
8 45 48 224 16007 
8 46 3 224 16007 
8 46 18 224 16007 
8 46 33 224 16007 
8 46 48 224 16007 
8 47 3 224 16067 
8 47 18 224 16067 
8 47 33 224 16067 
8 47 48 224 16067 
8 48 3 223 16067 
8 48 18 224 16067 
8 48 33 224 16067 
8 48 48 224 16067 
8 49 3 224 16067 
8 49 18 224 16067 
8 49 33 224 16067 
8 49 48 223 16067 
8 50 3 224 16067 
8 50 18 224 16067 
8 50 33 224 16067 
8 50 48 224 16067 
8 51 3 224 16067 
8 51 18 224 16067 
8 51 33 224 16067 
8 51 48 224 16067 
8 52 3 224 16067 
8 52 18 224 16067 
8 52 33 224 16067 
8 52 48 224 16067 
8 53 3 224 16067 
8 53 40 224 16067 
8 53 55 224 16067 
8 54 10 224 16067 
8 54 25 224 16067 
8 54 40 224 16067 
8 54 55 224 16067 
8 55 10 224 16067 
8 55 25 224 16067 
8 55 40 224 16067 
8 55 55 224 16067 
8 56 10 224 16067 
8 56 25 224 16067 
8 56 40 224 16067 
8 56 55 224 16067 
8 57 10 224 16067 
8 57 25 224 16067 
8 57 40 224 16067 
8 57 55 224 16067 
8 58 10 224 16067 
8 58 25 224 16067 
8 58 40 224 16067 
8 58 55 224 16067 
8 59 10 224 16067 
8 59 25 224 16067 
8 59 40 224 16067 
8 59 55 224 16067 
9 0 10 224 16067 
9 0 25 224 16067 
9 0 40 224 16067 
9 0 55 224 16067 
9 1 10 224 16067 
9 1 25 224 16067 
9 1 40 224 16067 
9 1 55 224 16067 
9 2 10 224 16067 
9 2 25 224 16067 
9 2 40 224 16067 
9 2 55 223 16067 
9 3 10 224 16067 
9 3 25 224 16067 
9 3 40 224 16067 
9 3 55 223 16067 
9 4 10 224 16067 
9 4 25 224 16067 
9 4 40 224 16067 
9 4 55 224 16067 
9 5 10 224 16067 
9 5 25 224 16067 
9 5 40 224 16067 
9 5 55 224 16067 
9 6 10 224 16067 
9 6 25 224 16067 
9 6 40 224 16067 
9 6 55 224 16067 
9 7 10 224 16067 
9 7 25 224 16067 
9 7 40 224 16067 
9 7 55 224 16067 
9 8 10 224 16067 
9 8 47 224 16067 
9 9 2 224 16067 
9 9 17 224 16067 
9 9 32 224 16067 
9 9 47 224 16067 
9 10 2 224 16067 
9 10 17 224 16067 
9 10 32 224 16067 
9 10 47 224 16067 
9 11 2 224 16067 
9 11 17 224 16067 
9 11 32 224 16067 
9 11 47 224 16067 
9 12 2 224 16067 
9 12 17 224 16067 
9 12 32 224 16067 
9 12 47 224 16067 
9 13 2 224 16067 
9 13 17 224 16067 
9 13 32 224 16067 
9 13 47 224 16067 
9 14 2 224 16067 
9 14 17 224 16067 
9 14 32 224 16067 
9 14 47 224 16067 
9 15 2 224 16067 
9 15 17 224 16067 
9 15 32 224 16067 
9 15 47 224 16067 
9 16 2 223 16067 
9 16 17 224 16067 
9 16 32 224 16067 
9 16 47 224 16067 
9 17 2 224 16067 
9 17 17 224 16067 
9 17 32 224 16067 
9 17 47 224 16067 
9 18 2 224 16067 
9 18 17 224 16067 
9 18 32 224 16067 
9 18 47 224 16067 
9 19 2 224 16067 
9 19 17 224 16067 
9 19 32 224 16067 
9 19 47 224 16067 
9 20 2 224 16067 
9 20 17 223 16067 
9 20 32 224 16067 
9 20 47 224 16067 
9 21 2 224 16067 
9 21 17 224 16067 
9 21 32 224 16067 
9 21 47 224 16067 
9 22 2 224 16067 
9 22 17 224 16067 
9 22 32 224 16067 
9 22 47 224 16067 
9 23 2 224 16067 
9 23 17 224 16067 
9 23 54 224 16067 
9 24 9 224 16067 
9 24 24 224 16067 
9 24 39 224 16067 
9 24 54 224 16067 
9 25 9 224 16067 
9 25 24 224 16067 
9 25 39 224 16067 
9 25 54 224 16067 
9 26 9 224 16067 
9 26 24 224 16067 
9 26 39 224 16067 
9 26 54 224 16067 
9 27 9 224 16067 
9 27 24 224 16067 
9 27 39 224 16067 
9 27 54 224 16067 
9 28 9 224 16067 
9 28 24 224 16067 
9 28 39 224 16067 
9 28 54 224 16067 
9 29 9 223 16067 
9 29 24 224 16067 
9 29 39 224 16067 
9 29 54 224 16067 
9 30 9 224 16067 
