


/> 
read_ramp 04181110
<CR>Time:2021/04/18 14:43Ramp data first polarity: 
279 279 279 278 278 278 277 279 277 278 278 279 278 278 278 277 278 277 279 278 278 278 278 279 278 279 278 278 279 278 279 278 278 278 278 279 279 278 278 280 278 278 279 278 279 278 278 278 279 278 278 279 278 278 278 278 278 278 279 278 278 278 278 279 279 281 282 283 284 286 287 290 291 293 294 295 298 298 300 300 302 303 305 307 307 309 310 312 313 314 316 315 319 319 320 323 323 325 326 327 328 330 331 333 334 335 336 338 339 340 342 343 345 346 347 349 350 351 352 354 355 357 358 358 360 361 363 364 365 366 368 369 370 372 373 374 376 376 378 379 380 381 383 384 385 387 388 389 391 391 393 394 395 396 398 399 400 401 402 404 405 407 407 409 410 411 413 413 416 416 418 419 420 421 423 424 425 428 427 428 430 430 432 433 434 435 437 437 438 440 441 443 443 445 446 447 447 449 450 451 453 453 455 456 458 459 460 461 462 463 465 466 468 468 469 471 472 472 475 475 475 478 478 479 481 481 483 485 485 485 488 488 489 491 491 492 494 494 495 497 498 499 500 501 502 503 504 503 505 505 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0418
<CR>Time:2021/04/18 14:43
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 52 56 224 8082 
8 53 11 219 8388 
8 53 26 224 11083 
8 53 41 224 12736 
8 53 56 224 13899 
8 54 11 224 14022 
8 57 17 99 13899 
8 57 28 167 14083 
8 57 43 224 14083 
8 57 58 224 14083 
8 58 13 224 14083 
8 58 28 224 14083 
8 58 43 224 14022 
8 58 58 224 14022 
8 59 13 223 14022 
8 59 28 224 14022 
8 59 43 224 14022 
8 59 58 224 14022 
9 0 13 224 14022 
9 0 28 224 14022 
9 0 43 224 14022 
9 0 58 224 14022 
9 1 13 224 14022 
9 1 28 224 14022 
9 1 43 224 14022 
9 1 58 224 14022 
9 2 13 224 14022 
9 2 28 224 14022 
9 2 43 224 14022 
9 2 58 224 14022 
9 3 13 224 14022 
9 3 28 224 14022 
9 3 43 224 14022 
9 3 58 224 13961 
9 4 13 224 14022 
9 4 28 224 14022 
9 4 43 224 13961 
9 4 58 224 13961 
9 5 13 224 13961 
9 5 28 224 13961 
9 5 43 224 13961 
9 5 58 224 13961 
9 6 13 224 13961 
9 6 28 224 13961 
9 6 43 224 13961 
9 6 58 224 13961 
9 7 13 224 13961 
9 7 28 224 13961 
9 7 43 224 13961 
9 7 58 224 13961 
9 8 13 224 13961 
9 8 28 224 13961 
9 8 43 224 13961 
9 8 58 224 13961 
9 9 50 224 13961 
9 10 5 224 13961 
9 10 20 224 13961 
9 10 35 224 13961 
9 10 50 224 13961 
9 11 5 224 13961 
9 11 20 224 13961 
9 11 35 224 13961 
9 11 50 224 13961 
9 12 5 224 13961 
9 12 20 224 13961 
9 12 35 224 13961 
9 12 50 224 13961 
9 13 5 224 13961 
9 13 20 224 13961 
9 13 35 224 13961 
9 13 50 223 13961 
9 14 5 224 13961 
9 14 20 224 13961 
9 14 35 224 13961 
9 14 50 224 13961 
9 15 5 224 13961 
9 15 20 224 13961 
9 15 35 224 13961 
9 15 50 224 13961 
9 16 5 224 13961 
9 16 20 224 13961 
9 16 35 224 13961 
9 16 50 224 13961 
9 17 5 224 13961 
9 17 20 224 13961 
9 17 35 224 13961 
9 17 50 224 13961 
9 18 5 224 14022 
9 18 20 224 14022 
9 18 35 224 14022 
9 18 50 224 14022 
9 19 5 224 14022 
9 19 20 224 14022 
9 19 35 224 14022 
9 19 50 224 14022 
9 20 5 224 14022 
9 20 20 224 14022 
9 20 35 224 14022 
9 20 50 224 14022 
9 21 5 224 14022 
9 21 20 224 14022 
9 21 35 224 14022 
9 21 50 224 14022 
9 22 5 224 14022 
9 22 20 224 14022 
9 22 35 224 14022 
9 22 50 224 14022 
9 23 5 224 14022 
9 23 20 224 14022 
9 23 35 224 14022 
9 23 50 224 14022 
9 24 5 224 14022 
9 24 42 224 14022 
9 24 57 224 14022 
9 25 12 224 13961 
9 25 27 224 13961 
9 25 42 224 13961 
9 25 57 224 13961 
9 26 12 223 13961 
9 26 27 224 13961 
9 26 42 224 13961 
9 26 57 224 13961 
9 27 12 224 13961 
9 27 27 224 13961 
9 27 42 224 13961 
9 27 57 224 13961 
9 28 12 224 13961 
9 28 27 224 13961 
9 28 42 224 13961 
9 28 57 224 13961 
9 29 12 225 13961 
9 29 27 224 13961 
9 29 42 224 13961 
9 29 57 224 13961 
9 30 12 224 13961 
9 30 27 224 13961 
9 30 42 224 13961 
9 30 57 224 13961 
9 31 12 224 13961 
9 31 27 224 13961 
9 31 42 224 13961 
9 31 57 224 13961 
9 32 12 224 13961 
9 32 27 224 13961 
9 32 42 224 13961 
9 32 57 224 13961 
9 33 12 224 13961 
9 33 27 224 13961 
9 33 42 224 13961 
9 33 57 224 13961 
9 34 12 223 13961 
9 34 27 224 13961 
9 34 42 224 13961 
9 34 57 224 13961 
9 35 12 224 13961 
9 35 27 224 13961 
9 35 42 224 13961 
9 35 57 224 13961 
9 36 12 224 13961 
9 36 27 224 13961 
9 36 42 224 13961 
9 36 57 224 13961 
9 37 12 224 13961 
9 37 27 224 13961 
9 37 42 224 13961 
9 37 57 224 13961 
9 38 12 224 13961 
9 38 27 224 13961 
9 38 42 224 13961 
9 38 57 224 13961 
9 39 12 224 13961 
9 40 4 224 13961 
9 40 19 224 13961 
9 40 34 224 13961 
9 40 49 224 13961 
9 41 4 223 13961 
9 41 19 224 13961 
9 41 34 224 13961 
9 41 49 224 13961 
9 42 4 224 13961 
9 42 19 224 13961 
9 42 34 224 13961 
9 42 49 224 13961 
9 43 4 224 13961 
9 43 19 224 13961 
9 43 34 224 13899 
9 43 49 224 13899 
9 44 4 224 13899 
9 44 19 224 13899 
9 44 34 224 13899 
9 44 49 224 13899 
9 45 4 224 13899 
9 45 19 224 13899 
9 45 34 224 13899 
9 45 49 224 13899 
9 46 4 224 13899 
9 46 19 224 13899 
9 46 34 224 13899 
9 46 49 224 13899 
9 47 4 224 13899 
9 47 19 224 13899 
9 47 34 224 13899 
9 47 49 224 13899 
9 48 4 224 13899 
9 48 19 224 13899 
9 48 34 224 13899 
9 48 49 224 13899 
9 49 4 224 13899 
9 49 20 224 13899 
9 49 35 224 13899 
9 49 50 224 13899 
9 50 5 224 13899 
9 50 20 224 13899 
9 50 35 224 13899 
9 50 50 224 13899 
9 51 5 224 13899 
9 51 20 224 13899 
9 51 35 224 13899 
9 51 50 224 13899 
9 52 5 224 13899 
9 52 20 224 13899 
9 52 35 224 13899 
9 52 50 224 13899 
9 53 5 224 13899 
9 53 20 224 13899 
9 53 35 224 13899 
9 53 50 224 13899 
9 54 5 224 13899 
9 54 20 224 13899 
9 54 57 224 13899 
9 55 12 224 13899 
9 55 27 224 13899 
9 55 42 224 13899 
9 55 57 224 13899 
9 56 12 224 13899 
9 56 27 224 13899 
9 56 42 224 13899 
9 56 57 224 13899 
9 57 12 224 13899 
9 57 27 224 13899 
9 57 42 224 13899 
9 57 57 224 13899 
9 58 12 224 13899 
9 58 27 224 13899 
