ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/15 14:51      6328  1015
----A 2021/10/15 11:30    128640  10151115
----A 2021/10/15 11:46    128000  10151131
----A 2021/10/15 12:02    128000  10151147
----A 2021/10/15 12:18    128000  10151203
----A 2021/10/15 12:34    128000  10151219
----A 2021/10/15 12:50    128000  10151235
----A 2021/10/15 13:06    128000  10151251
----A 2021/10/15 13:22    128000  10151307
----A 2021/10/15 13:23      2560  10151323
----A 2021/10/15 14:23    128000  10151408
----A 2021/10/15 14:39    128000  10151424
----A 2021/10/15 14:40      2560  10151440
----A 2021/10/16 14:41      8712  1016
----A 2021/10/16 10:11    128000  10160953
----A 2021/10/16 10:27    128000  10161009
----A 2021/10/16 10:43    128000  10161025
----A 2021/10/16 10:59    128000  10161041
----A 2021/10/16 11:15    128000  10161057
----A 2021/10/16 11:31    128000  10161113
----A 2021/10/16 11:47    128000  10161129
----A 2021/10/16 12:03    128000  10161145
----A 2021/10/16 12:19    128000  10161201
----A 2021/10/16 12:35    128000  10161217
----A 2021/10/16 12:51    128000  10161233
----A 2021/10/16 13:07    128000  10161249
----A 2021/10/16 13:28    129280  10161305
----A 2021/10/16 13:39    146560  10161329
----A 2021/10/16 13:53    128000  10161338
----A 2021/10/16 14:09    128000  10161354
----A 2021/10/16 14:25    128000  10161410
----A 2021/10/16 14:41     48000  10161426
----A 2021/10/17 15:14      9800  1017
----A 2021/10/17 10:11    128000  10170956
----A 2021/10/17 10:27    128000  10171012
----A 2021/10/17 10:43    128000  10171028
----A 2021/10/17 10:59    128000  10171044
----A 2021/10/17 11:15    128000  10171100
----A 2021/10/17 11:31    128000  10171116
----A 2021/10/17 11:47    128000  10171132
----A 2021/10/17 12:03    128000  10171148
----A 2021/10/17 12:19    128000  10171204
----A 2021/10/17 12:35    128000  10171220
----A 2021/10/17 12:51    128000  10171236
----A 2021/10/17 13:07    128000  10171252
----A 2021/10/17 13:23    128000  10171308
----A 2021/10/17 13:39    128000  10171324
----A 2021/10/17 13:55    128000  10171340
----A 2021/10/17 14:11    128000  10171356
----A 2021/10/17 14:27    128000  10171412
----A 2021/10/17 14:43    128000  10171428
----A 2021/10/17 14:59    128000  10171444
----A 2021/10/17 15:03      2560  10171500
----A 2021/10/18 15:02      9896  1018
----A 2021/10/18 09:58    128000  10180943
----A 2021/10/18 10:14    128000  10180959
----A 2021/10/18 10:30    128000  10181015
----A 2021/10/18 10:46    128000  10181031
----A 2021/10/18 11:02    128000  10181047
----A 2021/10/18 11:18    128000  10181103
----A 2021/10/18 11:34    128000  10181119
----A 2021/10/18 11:50    128000  10181135
----A 2021/10/18 12:06    128000  10181151
----A 2021/10/18 12:22    128000  10181207
----A 2021/10/18 12:38    128000  10181223
----A 2021/10/18 12:54    128000  10181239
----A 2021/10/18 13:10    128000  10181255
----A 2021/10/18 13:26    128000  10181311
----A 2021/10/18 13:42    128000  10181327
----A 2021/10/18 13:58    128000  10181343
----A 2021/10/18 14:14    128000  10181359
----A 2021/10/18 14:30    128000  10181415
----A 2021/10/18 14:46    128000  10181431
----A 2021/10/18 15:02     49920  10181447

  74 File(s),   8480816 bytes total
   0 Dir(s),     992016K bytes free

/> 
read 1018
read 1018
<CR>Time:2021/10/18 15:02
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 27 36 25 12988 
9 27 52 25 15948 
9 28 7 25 18486 
9 28 22 25 20117 
9 29 10 24 21023 
9 29 25 25 21023 
9 29 40 25 21023 
9 29 55 25 21023 
9 30 10 25 21023 
9 30 25 25 21023 
9 30 40 25 21023 
9 30 56 26 21023 
9 31 11 25 21023 
9 31 26 25 21023 
9 31 41 25 21023 
9 31 56 25 21023 
9 32 11 25 21023 
9 32 26 25 21023 
9 32 41 25 21023 
9 32 56 25 21023 
9 33 11 25 21023 
9 33 26 25 21023 
9 33 41 25 21023 
9 33 56 25 20963 
9 34 11 25 20963 
9 34 26 25 20963 
9 34 41 25 20963 
9 34 56 25 20963 
9 35 11 25 20963 
9 35 26 25 20963 
9 35 41 25 20963 
9 35 56 25 20963 
9 36 11 25 20963 
9 36 26 25 20963 
9 36 41 25 20963 
9 36 56 25 20963 
9 37 11 25 20963 
9 37 26 25 20963 
9 37 41 25 20963 
9 37 56 25 20963 
9 38 11 25 20963 
9 38 26 25 20963 
9 38 41 25 20963 
9 38 56 25 20963 
9 39 11 25 20963 
9 39 26 25 20963 
9 39 41 25 20963 
9 39 56 25 20963 
9 40 11 25 20963 
9 40 26 25 20963 
9 40 41 25 20963 
9 40 56 25 20963 
9 41 11 25 20963 
9 41 26 25 20963 
9 41 41 25 20963 
9 41 56 25 20963 
9 42 11 25 20963 
9 43 43 25 20963 
9 43 58 25 20963 
9 44 13 25 20963 
9 44 28 25 20963 
9 44 43 25 20963 
9 44 58 25 20963 
9 45 13 25 20963 
9 45 28 25 20963 
9 45 43 25 20963 
9 45 58 25 20963 
9 46 13 25 20963 
9 46 28 25 20963 
9 46 43 25 20963 
9 46 58 25 20963 
9 47 13 25 20963 
9 47 28 25 20963 
9 47 43 25 20963 
