

/> 
read_ramp 01261240
<CR>Time:2021/01/26 15:59Ramp data first polarity: 
247 246 247 246 247 248 246 246 246 246 247 246 246 246 247 247 246 246 246 247 246 247 247 246 246 246 246 247 246 246 246 247 247 247 245 246 246 246 244 248 248 247 246 247 246 247 247 246 246 246 247 247 247 246 247 247 246 246 246 246 246 246 247 249 248 251 251 251 253 255 258 259 260 263 264 265 268 269 271 273 275 276 278 279 280 282 283 285 286 288 289 290 292 293 295 296 298 299 300 302 305 306 307 309 309 310 314 314 315 317 318 320 322 323 325 326 328 329 331 332 335 336 337 339 340 341 342 345 345 347 349 350 351 354 354 356 357 359 360 362 364 365 367 368 369 370 372 373 375 375 378 379 380 382 383 385 386 389 389 391 393 394 395 397 398 399 401 403 403 406 406 408 410 411 412 413 415 416 418 420 421 423 424 425 427 428 428 431 433 434 434 437 437 439 440 441 444 445 445 447 449 450 453 453 454 456 457 458 460 461 462 465 466 466 468 470 470 472 473 474 477 478 479 479 482 483 485 485 487 488 489 491 492 494 495 497 498 498 500 503 504 505 506 506 507 508 509 508 508 509 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0126
<CR>Time:2021/01/26 15:59
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 39 53 224 12028 
9 40 8 223 13554 
9 40 23 224 14226 
9 40 38 224 14592 
9 40 53 224 15020 
9 41 8 224 15508 
9 41 23 224 15935 
9 42 51 224 15996 
9 43 6 224 15996 
9 43 21 224 15996 
9 43 36 224 15996 
9 43 51 224 15996 
9 44 6 224 15996 
9 44 21 224 15996 
9 44 36 224 15996 
9 44 51 224 15996 
9 45 6 224 15996 
9 45 21 224 15996 
9 45 36 224 15996 
9 45 51 224 15996 
9 46 6 224 15996 
9 46 21 224 15996 
9 46 36 224 15996 
9 46 51 224 15996 
9 47 6 224 15996 
9 47 21 224 15996 
9 47 36 224 15996 
9 47 51 224 15996 
9 48 6 224 15996 
9 48 21 224 15996 
9 48 36 224 15996 
9 48 51 224 15996 
9 49 6 224 15996 
9 49 21 224 15996 
9 49 36 224 15996 
9 49 51 224 15996 
9 50 6 224 15996 
9 50 21 224 15996 
9 50 36 224 15996 
9 50 51 224 15996 
9 51 6 224 15996 
9 51 21 224 15996 
9 51 36 224 15996 
9 51 51 224 15996 
9 52 6 224 15996 
9 52 21 224 15996 
9 52 36 224 15996 
9 52 51 224 15996 
9 53 6 224 15996 
9 53 21 224 15996 
9 53 36 224 15996 
9 53 51 224 15996 
9 54 29 224 15996 
9 54 44 223 15996 
9 54 59 224 15996 
9 55 14 224 15996 
9 55 29 225 15996 
9 55 44 224 15996 
9 55 59 224 15996 
9 56 14 224 15996 
9 56 29 224 15996 
9 56 44 223 15996 
9 56 59 224 15996 
9 57 14 224 15996 
9 57 29 224 15996 
9 57 44 224 15996 
