

/> 
read_ramp 01311117
<CR>Time:2021/01/31 15:51Ramp data first polarity: 
244 244 244 244 244 245 244 244 243 244 244 244 244 244 244 245 245 244 243 244 244 244 244 244 243 244 244 244 244 245 244 244 244 244 243 244 243 244 244 245 245 244 244 244 244 244 245 244 244 243 244 244 245 244 244 244 244 244 243 244 244 244 245 245 241 246 250 251 252 255 256 257 259 261 264 265 267 268 270 270 272 275 275 277 278 280 282 283 284 286 287 289 291 292 293 295 296 298 300 301 303 304 305 306 308 309 310 313 314 316 318 319 321 322 323 325 326 328 329 330 332 333 335 337 339 340 341 342 343 346 346 348 350 351 354 354 356 357 359 360 362 363 364 366 367 370 370 372 373 375 376 377 379 380 381 383 386 387 388 389 390 392 394 395 396 398 399 401 402 404 406 407 408 409 410 412 414 415 416 418 419 421 423 424 425 426 427 429 431 432 433 434 436 438 440 441 442 443 443 446 447 448 449 452 454 454 456 457 459 460 462 463 464 465 466 468 469 471 472 473 475 476 477 479 480 482 483 484 486 487 489 490 491 492 494 495 496 497 499 499 502 503 504 504 505 505 506 506 507 507 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0131
<CR>Time:2021/01/31 15:51
Hours Minutes Seconds  Nb_Samples    Aver. Current 
8 59 15 224 16073 
8 59 30 223 16012 
8 59 45 223 16012 
9 0 0 224 16012 
9 0 15 223 16012 
9 1 1 224 16012 
9 1 16 223 16012 
9 1 31 224 16012 
9 1 46 223 16012 
9 2 1 224 16012 
9 2 16 223 16012 
9 2 31 224 16012 
9 2 46 223 16012 
9 3 1 224 16012 
9 3 16 223 16012 
9 3 31 224 16012 
9 3 46 223 16012 
9 4 1 224 16012 
9 4 16 223 16012 
9 4 31 224 16012 
9 4 46 223 16012 
9 5 1 224 16012 
9 5 16 223 16012 
9 5 31 224 16012 
9 5 46 223 16012 
9 6 1 224 16012 
9 6 16 223 16012 
9 6 31 224 16012 
9 6 46 223 16012 
9 7 1 224 16012 
9 7 16 223 16012 
9 7 31 224 16012 
9 7 46 223 16012 
9 8 1 224 16012 
9 8 16 223 16012 
9 8 31 224 16012 
9 8 46 223 16012 
9 9 1 224 16012 
9 9 16 223 16012 
9 9 31 224 16012 
9 9 46 223 16012 
9 10 1 224 16012 
9 10 16 223 16012 
9 10 31 223 16012 
9 10 46 224 16012 
9 11 1 223 16012 
9 11 16 224 16012 
9 11 31 223 16012 
9 11 46 224 16012 
9 12 1 223 16012 
9 12 16 224 16012 
9 12 31 223 16012 
9 12 46 224 16012 
9 13 1 223 16012 
9 13 16 224 16012 
9 13 31 223 16012 
9 13 46 224 16012 
9 14 1 223 16012 
9 14 16 224 16012 
9 14 31 223 16012 
9 14 46 224 16012 
9 15 1 223 16012 
9 15 16 223 16012 
9 15 31 224 16012 
9 16 14 224 16012 
9 16 29 223 16012 
9 16 44 224 16012 
9 16 59 223 16012 
9 17 14 224 16012 
9 17 29 223 16012 
9 17 44 224 16012 
9 17 59 223 16012 
9 18 14 224 16012 
9 18 29 223 16012 
9 18 44 224 16012 
9 18 59 223 16012 
9 19 14 224 16012 
9 19 29 223 16012 
9 19 44 224 16012 
9 19 59 223 16012 
9 20 14 224 16012 
9 20 29 223 16012 
9 20 44 224 16012 
9 20 59 223 16012 
9 21 14 224 16012 
9 21 29 223 16012 
9 21 45 224 16012 
9 21 59 223 16012 
9 22 15 224 16012 
9 22 29 223 16012 
9 22 45 224 16012 
9 22 59 223 16012 
9 23 15 224 16012 
9 23 29 223 16012 
9 23 44 223 16012 
9 24 0 224 16012 
9 24 14 223 16012 
9 24 30 224 16012 
9 24 44 223 16012 
9 25 0 224 16012 
9 25 14 223 16012 
9 25 30 224 16012 
9 25 44 223 16012 
9 26 0 224 16012 
9 26 14 223 16012 
9 26 30 224 16012 
9 26 44 223 16012 
9 27 0 224 16012 
9 27 14 223 16012 
9 27 30 224 16012 
9 27 44 223 16012 
9 28 0 224 16012 
9 28 14 223 16012 
9 28 30 224 16012 
9 28 44 223 16012 
9 29 0 224 16012 
9 29 14 223 16012 
9 29 30 224 16012 
9 29 44 223 16012 
9 30 0 224 16012 
9 30 15 223 16012 
9 30 30 224 16012 
9 30 45 223 16012 
9 31 28 224 15951 
9 31 43 223 16012 
9 31 58 224 16012 
9 32 13 223 16012 
9 32 28 224 16012 
9 32 43 223 16012 
9 32 58 224 16012 
9 33 13 223 16012 
9 33 28 224 16012 
9 33 43 223 16012 
9 33 58 224 16012 
9 34 13 223 16012 
9 34 28 224 16012 
9 34 43 223 16012 
9 34 58 224 16012 
9 35 13 223 16012 
9 35 28 224 16012 
9 35 43 223 16012 
9 35 58 224 16012 
9 36 13 223 16012 
9 36 28 224 16012 
9 36 43 223 16012 
9 36 58 223 16012 
9 37 13 224 16012 
9 37 28 223 16012 
9 37 43 224 16012 
9 37 58 223 16012 
9 38 13 224 16012 
9 38 28 223 16012 
9 38 43 224 16012 
9 38 58 223 16012 
9 39 13 224 16012 
9 39 28 223 16012 
9 39 43 224 16012 
9 39 58 223 16012 
9 40 13 224 16012 
9 40 28 223 16012 
9 40 43 224 16012 
9 40 58 223 16012 
9 41 13 224 16012 
9 41 28 223 16012 
9 41 42 223 16012 
9 41 58 224 16012 
9 42 12 223 16012 
9 42 28 224 16012 
9 42 43 223 16012 
9 42 58 224 16012 
9 43 13 223 16012 
9 43 28 224 16012 
9 43 43 223 16012 
9 43 58 224 16012 
9 44 13 223 16012 
9 44 28 224 16012 
9 44 43 223 16012 
9 44 58 224 16012 
9 45 13 223 16012 
9 45 28 224 16012 
9 45 43 223 16012 
9 45 58 224 16012 
9 46 41 224 16012 
9 46 56 223 16012 
9 47 11 224 16012 
9 47 26 223 16012 
9 47 41 223 16012 
9 47 56 224 16012 
9 48 11 223 16012 
9 48 26 224 16012 
9 48 41 223 16012 
9 48 56 224 16012 
9 49 11 223 16012 
9 49 26 224 16012 
9 49 41 223 16012 
9 49 56 224 16012 
9 50 11 223 16012 
9 50 26 223 16012 
9 50 41 224 16012 
9 50 56 223 16012 
9 51 11 224 16012 
9 51 26 223 16012 
9 51 41 224 16012 
9 51 56 223 16012 
9 52 11 224 16012 
9 52 26 223 16012 
9 52 41 224 16012 
9 52 56 223 16012 
9 53 11 224 16012 
9 53 26 223 16012 
9 53 41 224 16012 
9 53 56 223 16012 
9 54 11 224 16012 
9 54 26 223 16012 
9 54 41 224 16012 
9 54 56 223 16012 
9 55 11 224 16012 
9 55 26 223 16012 
9 55 41 224 16012 
9 55 56 223 16012 
9 56 11 224 16012 
9 56 26 223 16012 
9 56 41 224 16012 
9 56 56 223 16012 
9 57 11 224 16012 
9 57 26 223 16012 
9 57 41 224 16012 
9 57 56 223 16012 
9 58 11 224 16012 
9 58 26 223 16012 
9 58 41 224 16012 
9 58 56 223 16012 
9 59 11 224 16012 
9 59 26 223 16012 
9 59 41 224 16012 
9 59 56 223 16012 
10 0 11 224 16012 
10 0 26 223 16012 
10 0 41 224 16012 
10 0 56 223 16012 
10 1 11 224 16012 
10 1 54 224 15951 
10 2 9 223 16012 
10 2 24 224 16012 
10 2 39 223 16012 
10 2 54 224 16012 
10 3 9 223 16012 
10 3 24 223 16012 
10 3 39 224 16012 
10 3 54 223 16012 
10 4 9 224 16012 
10 4 24 223 16012 
10 4 39 224 16012 
10 4 54 223 16012 
10 5 9 224 16012 
10 5 24 223 16012 
10 5 39 224 16012 
10 5 54 223 16012 
10 6 9 224 16012 
10 6 24 223 16012 
10 6 39 224 16012 
10 6 54 223 16012 
10 7 9 224 16012 
10 7 24 223 16012 
10 7 39 224 16012 
10 7 54 223 16012 
10 8 9 224 16012 
10 8 24 223 16012 
10 8 39 224 16012 
10 8 54 223 16012 
10 9 9 224 16012 
10 9 24 223 16012 
10 9 39 224 16012 
10 9 54 223 16012 
10 10 9 224 16012 
10 10 24 223 16012 
10 10 39 224 16012 
10 10 54 223 16012 
10 11 9 224 16012 
10 11 24 223 16012 
10 11 39 224 16012 
10 11 54 223 16012 
10 12 9 224 16012 
10 12 24 223 16012 
10 12 39 224 16012 
10 12 54 223 16012 
10 13 9 224 16012 
10 13 24 223 16012 
10 13 39 224 16012 
10 13 54 223 16012 
10 14 9 224 16012 
10 14 24 223 16012 
10 14 39 224 16012 
10 14 54 223 16012 
10 15 9 224 16012 
10 15 24 223 16012 
10 15 39 224 16012 
10 15 54 223 16012 
10 16 9 224 16012 
10 16 24 223 16012 
10 17 7 224 15890 
10 17 22 224 16012 
10 17 37 223 16012 
10 17 52 224 16012 
10 18 7 223 16012 
10 18 22 223 16012 
10 18 37 224 16012 
10 18 52 223 16012 
10 19 7 224 16012 
10 19 22 223 16012 
10 19 37 224 16012 
10 19 52 223 16012 
10 20 7 224 16012 
10 20 22 223 16012 
10 20 37 224 16012 
10 20 52 223 16012 
10 21 7 224 16012 
10 21 22 223 16012 
10 21 37 224 16012 
10 21 52 223 16012 
10 22 7 224 16012 
10 22 22 223 16012 
10 22 52 225 16012 
10 23 7 224 16012 
10 23 22 223 16012 
10 23 37 224 16012 
10 23 52 223 16012 
10 24 7 224 16012 
10 24 22 223 16012 
10 24 37 224 16012 
10 25 7 225 16012 
10 25 22 224 16012 
10 25 37 223 16012 
10 25 52 224 16012 
10 26 7 223 16012 
10 26 22 224 16012 
10 26 37 223 16012 
10 26 52 224 16012 
10 27 7 223 16012 
10 27 22 224 16012 
10 27 37 223 16012 
10 27 52 224 16012 
10 28 7 223 16012 
10 28 22 224 16012 
10 28 37 223 16012 
10 28 52 224 16012 
10 29 7 223 16012 
10 29 22 224 16012 
10 29 37 223 16012 
10 29 52 224 16012 
10 30 7 223 16012 
10 30 22 224 16012 
10 30 37 223 16012 
10 30 52 224 16012 
10 31 7 223 16012 
10 31 22 224 16012 
10 31 37 223 16012 
10 32 20 224 16012 
10 32 35 223 16012 
10 32 50 223 16012 
10 33 5 224 16012 
10 33 20 223 16012 
10 33 35 224 16012 
10 33 50 223 16012 
10 34 5 224 16012 
10 34 20 223 16012 
10 34 35 224 16012 
10 34 50 223 16012 
10 35 5 224 16012 
10 35 20 223 16012 
10 35 35 224 16012 
10 35 50 223 16012 
10 36 5 224 16012 
10 36 20 223 16012 
10 36 35 224 16012 
10 36 50 223 16012 
10 37 5 224 16012 
10 37 20 223 16012 
10 37 35 224 16012 
10 37 50 223 16012 
10 38 5 224 16012 
10 38 20 223 16012 
10 38 35 224 16012 
10 38 50 223 16012 
10 39 5 224 16012 
10 39 20 223 16012 
10 39 35 224 16012 
10 39 50 223 16012 
10 40 5 224 16012 
10 40 20 223 16012 
10 40 35 224 16012 
10 40 50 223 16012 
10 41 5 224 16012 
10 41 20 223 16012 
10 41 35 224 16012 
10 41 50 223 16012 
10 42 5 224 16012 
10 42 20 223 16012 
10 42 35 224 16012 
10 42 50 223 16012 
10 43 5 224 16012 
10 43 20 223 16012 
10 43 35 224 16012 
10 43 50 223 16012 
10 44 5 224 16012 
10 44 20 223 16012 
10 44 35 224 16012 
10 44 50 223 16012 
10 45 5 224 16012 
10 45 20 223 16012 
10 45 35 223 16012 
10 45 50 223 16012 
10 46 5 224 16012 
10 46 20 223 16012 
10 46 35 224 16012 
10 46 50 223 16012 
10 47 32 224 15951 
10 47 47 224 16012 
10 48 2 223 16012 
10 48 17 224 16012 
10 48 47 225 16012 
10 49 2 224 16012 
10 49 17 223 16012 
10 49 32 224 16012 
10 49 47 223 16012 
10 50 2 224 16012 
10 50 17 223 16012 
10 50 32 224 16012 
10 50 47 223 16012 
10 51 2 224 16012 
10 51 17 223 16012 
10 51 32 224 16012 
10 51 47 223 16012 
10 52 2 224 16012 
10 52 17 223 16012 
10 52 32 224 16012 
10 52 47 223 16012 
10 53 2 224 16012 
10 53 17 223 16012 
10 53 32 224 16012 
10 53 47 223 16012 
10 54 2 224 16012 
10 54 17 223 16012 
10 54 32 224 16012 
10 54 47 223 16012 
10 55 2 224 16012 
10 55 17 223 16012 
10 55 32 224 16012 
10 55 47 223 16012 
10 56 2 224 16012 
10 56 17 223 16012 
10 56 32 224 16012 
10 56 47 223 16012 
10 57 2 224 16012 
10 57 17 223 16012 
10 57 32 224 16012 
10 57 47 223 16012 
10 58 2 224 16012 
10 58 17 223 16012 
10 58 32 224 16012 
10 58 47 223 16012 
10 59 2 223 16012 
10 59 17 224 16012 
10 59 32 223 16012 
10 59 47 224 16012 
11 0 2 223 16012 
11 0 17 224 16012 
11 0 32 223 16012 
11 0 47 224 16012 
11 1 2 223 16012 
11 1 17 224 16012 
11 1 32 223 16012 
11 1 47 224 16012 
11 2 2 223 16012 
11 2 45 224 15951 
11 3 0 223 16012 
11 3 15 224 16012 
11 3 30 223 16012 
11 3 45 224 16012 
11 4 0 223 16012 
11 4 15 224 16012 
11 4 30 223 16012 
11 4 45 224 16012 
11 5 0 223 16012 
11 5 15 224 16012 
11 5 30 223 16012 
11 5 45 224 16012 
11 6 0 223 16012 
11 6 15 224 16012 
11 6 30 223 16012 
11 6 45 224 16012 
11 7 0 223 16012 
11 7 15 224 16012 
11 7 30 223 16012 
11 7 45 224 16012 
11 8 0 223 16012 
11 8 15 224 16012 
11 8 30 223 16012 
11 8 45 224 16012 
11 9 0 223 16012 
11 9 15 224 16012 
11 9 30 223 16012 
11 9 45 224 16012 
11 10 0 223 16012 
11 10 15 224 16012 
11 10 30 223 16012 
11 10 45 224 16012 
11 11 0 223 16012 
11 11 15 224 16012 
11 11 30 223 16012 
11 11 45 224 16012 
11 12 0 223 16012 
11 12 15 223 16012 
11 12 30 224 16012 
11 12 45 223 16012 
11 13 0 224 16012 
11 13 15 223 16012 
11 13 30 224 16012 
11 13 45 223 16012 
11 14 0 224 16012 
11 14 15 223 16012 
11 14 30 224 16012 
11 14 45 223 16012 
11 15 15 225 16012 
11 15 30 224 16012 
11 15 45 223 16012 
11 16 0 224 16012 
11 16 15 223 16012 
11 16 30 224 16012 
11 16 45 223 16012 
11 17 0 224 16012 
11 17 15 223 16012 
11 17 58 224 15951 
11 18 13 224 16012 
11 18 28 223 16012 
11 18 43 224 16012 
11 18 58 223 16012 
11 19 13 223 16012 
11 19 28 224 16012 
11 19 43 223 16012 
11 19 58 224 16012 
11 20 13 223 16012 
11 20 28 224 16012 
11 20 43 223 16012 
11 20 58 224 16012 
11 21 13 223 16012 
11 21 28 224 16012 
11 21 43 223 16012 
11 21 58 224 16012 
11 22 13 223 16012 
11 22 28 224 16012 
11 22 43 223 16012 
11 22 58 224 16012 
11 23 13 223 16012 
11 23 28 224 16012 
11 23 43 223 16012 
11 23 58 224 16012 
11 24 13 223 16012 
11 24 28 224 16012 
11 24 43 223 16012 
11 24 58 224 16012 
11 25 13 223 16012 
11 25 28 223 16012 
