ls

ls
<CR>
         TIME          Size       File name 
----A 2021/10/04 15:19      3360  1004
----A 2021/10/04 13:55    128640  10041339
----A 2021/10/04 14:11    128640  10041354
----A 2021/10/04 14:25    128640  10041410
----A 2021/10/04 14:41    128000  10041425
----A 2021/10/04 14:55    128640  10041440
----A 2021/10/04 15:11    128000  10041456
----A 2021/10/04 15:11      2560  10041511

   8 File(s),    776480 bytes total
   0 Dir(s),     999776K bytes free

/> 
read 1004

read 1004
<CR>Time:2021/10/04 15:11
Hours Minutes Seconds  Nb_Samples    Aver. Current 
13 24 22 74 9825 
13 24 37 73 11913 
13 24 52 75 14738 
13 25 7 75 15290 
13 25 22 75 16580 
13 25 52 46 16580 
13 26 7 75 17010 
13 28 59 75 17133 
13 29 14 75 17133 
13 29 29 75 17133 
13 29 44 75 17133 
13 29 59 75 17133 
13 30 14 75 17133 
13 30 29 75 17133 
13 30 44 75 17133 
13 30 59 75 17071 
13 31 14 75 17071 
13 31 29 75 17071 
13 31 44 75 17071 
13 31 59 75 17071 
13 32 14 75 17071 
13 32 29 75 17071 
13 32 44 75 17071 
13 32 59 75 17071 
13 33 14 75 17071 
13 33 29 75 17071 
13 33 44 75 17071 
13 33 59 75 17071 
13 34 14 75 17071 
13 34 29 75 17071 
13 35 6 34 17010 
13 35 14 41 16211 
13 35 29 75 17071 
13 35 44 75 17071 
13 35 59 75 17071 
13 36 14 75 17071 
13 36 29 75 17071 
13 36 44 75 17071 
13 36 59 75 17071 
13 37 14 75 17071 
13 37 29 75 17071 
13 37 44 74 17071 
13 37 59 75 17071 
13 38 14 75 17071 
13 38 29 75 17071 
13 38 44 75 17071 
13 38 59 75 17071 
13 40 6 75 17071 
13 40 21 75 17071 
13 40 36 75 17071 
13 40 51 75 17071 
13 41 6 75 17071 
13 41 21 75 17071 
13 41 36 75 17071 
13 41 51 75 17071 
13 42 6 75 17071 
13 42 21 75 17071 
13 42 36 75 17071 
13 42 51 75 17071 
13 43 6 75 17071 
13 43 21 75 17071 
13 43 36 75 17071 
13 43 51 75 17071 
13 44 6 75 17071 
13 44 21 75 17071 
13 44 36 75 17071 
13 44 51 74 17071 
13 45 6 75 17071 
13 45 21 75 17071 
13 45 36 75 17071 
13 45 51 75 17071 
13 46 6 75 17071 
13 46 21 75 17071 
13 46 36 75 17071 
13 46 51 75 17071 
13 47 6 75 17071 
13 47 21 75 17071 
13 47 36 75 17071 
13 47 51 76 17071 
13 48 6 75 17071 
13 48 21 75 17071 
13 48 36 75 17071 
13 48 51 75 17071 
13 49 6 75 17071 
13 49 21 75 17071 
13 49 36 75 17071 
13 49 51 75 17071 
13 50 6 75 17071 
13 50 21 75 17071 
13 50 36 75 17071 
13 50 51 75 17071 
13 51 6 75 17071 
13 51 21 75 17071 
13 51 36 75 17071 
13 51 51 75 17071 
13 52 6 75 17071 
13 52 21 75 17071 
13 52 36 74 17071 
13 52 51 75 17071 
13 53 6 75 17071 
13 53 21 75 17071 
13 53 36 75 17071 
13 53 51 75 17071 
13 54 6 75 17071 
13 54 21 75 17010 
13 55 33 12 16887 
13 55 41 42 16089 
13 55 56 75 17010 
13 56 11 75 17071 
13 56 26 75 17071 
13 56 41 75 17071 
13 56 56 75 17071 
13 57 11 75 17071 
13 57 26 75 17071 
13 57 41 75 17071 
13 57 56 75 17071 
13 58 11 75 17071 
13 58 26 75 17071 
13 58 41 75 17071 
13 58 56 75 17071 
13 59 11 75 17071 
13 59 26 75 17071 
13 59 41 75 17071 
13 59 56 75 17071 
14 0 11 75 17071 
14 0 26 75 17071 
14 0 41 75 17071 
14 0 56 75 17071 
14 1 11 75 17071 
14 1 26 75 17071 
14 1 41 75 17071 
14 1 56 75 17071 
14 2 11 75 17071 
14 2 26 75 17071 
14 2 41 75 17071 
14 2 56 75 17071 
14 3 11 75 17071 
14 3 26 75 17071 
14 3 41 75 17071 
14 3 56 75 17071 
14 4 11 75 17071 
14 4 26 75 17071 
14 4 41 75 17071 
14 4 56 74 17071 
14 5 11 75 17071 
14 5 26 75 17071 
14 5 41 75 17071 
14 5 56 75 17071 
14 6 11 75 17071 
14 6 26 75 17071 
14 6 41 75 17071 
14 6 56 75 17071 
14 7 11 75 17071 
14 7 26 75 17071 
14 7 41 75 17071 
14 7 56 75 17071 
14 8 11 75 17071 
14 8 26 75 17071 
14 8 41 75 17071 
14 8 56 75 17071 
14 9 11 75 17071 
14 9 26 75 17071 
14 9 41 75 17071 
14 10 46 75 17071 
14 11 2 75 17071 
14 11 17 75 17071 
14 11 32 75 17071 
14 11 47 75 17071 
14 12 2 75 17071 
14 12 17 75 17071 
14 12 32 75 17071 
14 12 47 75 17071 
14 13 2 75 17071 
14 13 17 75 17071 
14 13 32 75 17071 
14 13 47 75 17071 
14 14 2 75 17071 
14 14 17 75 17071 
14 14 32 75 17071 
14 14 47 75 17071 
14 15 2 75 17071 
14 15 17 75 17071 
14 15 32 75 17071 
14 15 47 75 17071 
14 16 2 75 17071 
14 16 17 75 17071 
14 16 32 75 17071 
14 16 47 75 17071 
14 17 2 75 17071 
14 17 17 75 17071 
14 17 32 75 17071 
14 17 47 75 17071 
14 18 2 75 17071 
14 18 17 75 17071 
14 18 32 75 17071 
14 18 47 75 17071 
14 19 2 75 17071 
14 19 17 75 17071 
14 19 32 75 17071 
14 19 47 74 17071 
14 20 2 75 17071 
14 20 17 75 17071 
14 20 32 75 17071 
14 20 47 75 17071 
14 21 2 75 17071 
14 21 17 75 17071 
14 21 32 75 17071 
14 21 47 75 17071 
14 22 2 75 17071 
14 22 17 75 17071 
14 22 32 75 17071 
14 22 47 75 17071 
14 23 2 75 17071 
14 23 17 75 17071 
14 23 32 75 17071 
14 23 47 75 17071 
14 24 2 75 17071 
14 24 17 75 17071 
14 24 32 75 17071 
14 24 47 75 17071 
14 25 2 75 17071 
14 25 52 75 17071 
14 26 7 75 17071 
14 26 22 75 17071 
14 26 37 75 17071 
14 26 52 75 17071 
14 27 7 75 17071 
14 27 22 75 17071 
14 27 37 75 17071 
14 27 52 75 17071 
14 28 7 75 17071 
14 28 22 75 17071 
14 28 37 75 17071 
14 28 52 75 17071 
14 29 7 75 17071 
14 29 22 75 17071 
14 29 37 75 17071 
14 29 52 75 17071 
14 30 7 75 17071 
14 30 22 75 17071 
14 30 37 75 17071 
14 30 52 75 17071 
14 31 7 75 17071 
14 31 22 75 17071 
14 31 37 75 17071 
14 31 52 75 17071 
14 32 7 75 17071 
14 32 22 75 17071 
14 32 37 75 17071 
14 32 52 75 17071 
14 33 7 75 17071 
14 33 22 75 17071 
14 33 37 75 17071 
14 33 52 75 17071 
14 34 7 75 17071 
14 34 22 75 17071 
14 34 37 75 17071 
14 34 52 75 17071 
14 35 7 75 17071 
14 35 22 75 17071 
14 35 37 75 17071 
14 35 52 75 17071 
14 36 7 75 17071 
14 36 22 75 17071 
14 36 37 75 17071 
14 36 52 75 17071 
14 37 7 75 17071 
14 37 22 75 17071 
14 37 37 75 17071 
14 37 52 75 17071 
14 38 7 75 17071 
14 38 22 75 17071 
14 38 37 75 17071 
14 38 52 75 17071 
14 39 7 75 17071 
14 39 22 75 17071 
14 39 37 75 17071 
14 39 52 75 17071 
14 40 7 75 17071 
14 40 22 75 17071 
14 41 27 75 17071 
14 41 42 74 17071 
14 41 57 75 17071 
14 42 12 75 17071 
14 42 27 75 17071 
14 42 42 75 17071 
14 42 57 75 17071 
14 43 12 75 17071 
14 43 27 75 17071 
14 43 42 75 17071 
14 43 57 75 17071 
14 44 12 75 17071 
14 44 27 75 17071 
14 44 42 75 17071 
14 44 57 75 17071 
14 45 12 75 17071 
14 45 27 75 17071 
14 45 42 75 17071 
14 45 57 75 17071 
14 46 12 75 17071 
14 46 27 75 17071 
14 46 42 75 17071 
14 46 57 75 17071 
14 47 12 75 17071 
14 47 27 75 17071 
14 47 42 75 17071 
14 47 57 75 17071 
14 48 12 75 17071 
14 48 27 75 17071 
14 48 42 75 17071 
14 48 57 75 17071 
14 49 12 75 17071 
14 49 27 75 17071 
14 49 42 75 17071 
14 49 57 75 17071 
14 50 12 75 17071 
14 50 27 75 17071 
14 50 42 75 17071 
14 50 57 75 17071 
14 51 12 75 17071 
14 51 27 75 17071 
14 51 42 75 17071 
14 51 57 75 17071 
14 52 12 75 17071 
14 52 27 75 17071 
14 52 42 75 17071 
14 52 57 75 17071 
14 53 12 75 17071 
14 53 27 75 17071 
14 53 42 75 17071 
14 53 57 75 17071 
14 54 12 75 17071 
14 54 27 75 17071 
14 54 42 75 17071 
14 54 57 75 17071 
14 55 12 75 17071 
14 55 27 75 17071 
14 55 42 75 17071 
14 56 32 75 17071 
14 56 47 75 17071 
14 57 2 75 17071 
14 57 17 75 17071 
14 57 32 75 17071 
14 57 47 75 17071 
14 58 2 75 17071 
14 58 17 75 17071 
14 58 32 75 17071 
14 58 47 75 17071 
14 59 2 75 17071 
14 59 17 75 17071 
14 59 32 75 17071 
14 59 47 75 17071 
15 0 2 75 17071 
15 0 17 75 17071 
15 0 32 75 17071 
15 0 47 75 17071 
15 1 2 75 17071 
