
/> 
read_ramp 06041113
<CR>Time:2021/06/04 16:01Ramp data first polarity: 
714 714 714 714 714 714 715 714 713 714 715 713 714 714 714 714 713 714 714 713 714 714 714 713 714 714 713 714 714 714 715 715 713 714 714 714 714 713 714 715 714 714 714 715 713 714 714 715 713 714 714 714 713 714 714 715 714 714 714 715 714 714 713 714 714 707 709 709 708 707 705 705 703 700 700 698 697 696 694 694 694 690 690 689 687 687 686 684 684 682 681 679 678 678 676 675 674 675 672 671 669 668 667 666 665 664 662 661 660 659 659 657 656 655 654 652 651 651 650 648 648 646 645 644 642 641 639 639 638 637 635 634 633 632 630 630 628 628 627 626 624 623 622 621 620 619 619 616 615 614 614 612 612 610 609 607 606 605 605 603 602 602 600 599 598 596 596 595 595 592 592 591 589 588 587 586 585 584 583 582 580 579 578 577 576 575 574 573 571 570 569 568 567 567 566 565 563 562 561 560 559 558 557 556 554 553 553 552 550 550 548 548 547 545 544 543 542 541 541 540 538 537 536 535 535 533 532 532 530 529 528 527 525 525 524 524 522 520 520 519 517 516 516 515 515 513 513 513 513 512 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0604
<CR>Time:2021/06/04 16:01
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 58 43 223 9568 
9 58 58 219 9748 
9 59 13 223 11494 
9 59 28 224 12035 
10 0 38 224 12035 
10 0 53 224 12035 
10 1 8 223 12035 
10 1 23 224 12035 
10 1 38 223 12035 
10 1 53 224 12035 
10 2 8 223 12035 
10 2 23 224 12035 
10 2 38 223 12035 
10 2 53 224 12035 
10 3 8 223 12035 
10 3 23 224 12035 
10 3 38 223 12035 
10 3 53 224 12035 
10 4 8 223 12035 
10 4 23 224 12035 
10 4 38 223 12035 
10 4 53 224 12035 
10 5 8 223 12035 
10 5 23 224 12035 
10 5 38 223 12035 
10 5 53 224 12035 
10 6 8 223 12035 
10 6 23 224 12035 
10 6 38 223 12035 
10 6 53 224 12035 
10 7 8 223 12035 
10 7 23 224 12035 
10 7 38 223 12035 
10 7 53 224 12035 
10 8 8 223 12035 
10 8 23 224 12035 
10 8 38 223 12035 
10 8 53 224 12035 
10 9 8 223 12035 
10 9 23 224 12035 
10 9 38 223 12035 
10 9 53 224 12035 
10 10 8 223 12035 
10 10 23 224 12035 
10 10 38 223 12035 
10 10 53 224 12035 
10 11 8 223 12035 
10 11 23 224 12035 
10 11 38 223 12035 
10 11 53 224 12035 
10 12 8 223 12035 
10 12 23 224 12035 
10 12 38 223 12035 
10 12 53 224 12035 
10 13 8 223 12035 
10 13 23 223 12035 
10 14 0 224 12035 
10 14 15 224 12035 
10 14 30 223 12035 
10 14 45 224 12035 
10 15 0 223 12035 
10 15 15 224 12035 
10 15 30 223 12035 
10 15 45 224 12035 
10 16 0 224 12035 
10 16 15 223 12035 
10 16 30 224 12035 
10 16 45 223 12035 
10 17 0 224 12035 
10 17 15 223 12035 
10 17 30 224 12035 
10 17 45 223 12035 
10 18 0 224 12035 
10 18 15 223 12035 
10 18 30 224 12035 
10 18 45 223 12035 
10 19 0 224 12035 
10 19 15 223 12035 
10 19 30 224 12095 
10 19 45 223 12035 
10 20 0 224 12035 
10 20 15 223 12035 
10 20 30 224 12095 
10 20 45 223 12035 
10 21 0 224 12035 
10 21 15 223 12095 
10 21 30 224 12095 
10 21 45 223 12095 
10 22 0 224 12095 
10 22 15 223 12095 
10 22 30 224 12095 
10 22 45 223 12035 
10 23 0 224 12095 
10 23 15 223 12095 
10 23 30 224 12095 
10 23 45 223 12095 
10 24 0 224 12095 
10 24 15 223 12095 
10 24 30 224 12095 
10 24 45 223 12095 
10 25 0 223 12095 
10 25 15 224 12095 
10 25 30 223 12095 
10 25 45 224 12095 
10 26 0 223 12095 
10 26 15 224 12095 
10 26 30 223 12095 
10 26 45 224 12095 
10 27 0 223 12095 
10 27 15 224 12095 
10 27 30 223 12095 
10 27 45 224 12095 
10 28 0 223 12095 
10 28 15 224 12095 
10 28 30 223 12095 
10 29 7 224 12095 
10 29 22 224 12095 
10 29 37 223 12095 
10 29 52 224 12095 
10 30 7 223 12095 
10 31 0 58 12035 
10 31 7 104 10771 
10 31 22 224 12035 
10 31 37 223 12095 
10 31 52 224 12095 
10 32 7 223 12095 
10 32 22 224 12035 
10 32 37 223 12095 
10 32 52 224 12095 
10 33 7 223 12095 
10 33 22 224 12095 
10 33 37 223 12095 
10 33 52 224 12095 
10 34 7 223 12095 
10 34 22 224 12095 
10 34 37 223 12095 
10 34 52 224 12095 
10 35 7 223 12095 
10 35 22 224 12095 
10 35 37 223 12095 
10 35 52 224 12095 
10 36 7 223 12095 
10 36 22 224 12095 
10 36 37 223 12095 
10 36 52 224 12095 
10 37 7 223 12095 
10 37 22 224 12095 
10 37 37 223 12095 
10 37 52 224 12095 
10 38 7 223 12095 
10 38 22 224 12095 
10 38 37 223 12095 
10 38 52 223 12095 
10 39 7 224 12095 
10 39 22 223 12095 
10 39 37 224 12095 
10 39 52 223 12095 
10 40 7 224 12095 
10 40 22 223 12095 
10 40 37 224 12095 
10 40 52 223 12035 
10 41 7 223 12095 
10 41 22 224 12095 
10 41 37 223 12095 
10 41 52 224 12095 
10 42 7 223 12095 
10 42 22 224 12095 
10 42 37 223 12095 
10 42 52 224 12095 
10 43 7 223 12095 
10 43 22 224 12095 
10 43 37 223 12095 
10 44 14 224 12035 
10 44 29 224 12095 
10 44 44 223 12095 
10 44 59 224 12095 
10 45 14 223 12095 
10 45 29 224 12095 
10 45 44 223 12035 
10 45 59 224 12095 
10 46 14 223 12095 
10 46 29 224 12095 
10 46 44 223 12095 
10 46 59 224 12095 
10 47 14 223 12095 
10 47 29 224 12095 
10 47 44 223 12095 
