

/> 
read_ramp 06031249

<CR>Time:2021/06/03 14:35Ramp data first polarity: 
320 320 320 320 320 320 320 320 319 319 319 320 320 321 319 319 319 320 320 321 320 319 319 320 320 320 320 320 320 319 320 320 319 319 320 319 320 320 320 319 320 320 319 320 321 320 319 320 320 320 320 320 320 320 320 320 320 319 319 320 320 320 321 320 320 327 325 324 327 327 326 327 329 332 334 334 335 337 338 339 341 341 342 343 345 346 347 348 348 349 351 352 354 355 355 357 357 360 361 361 362 363 364 366 367 368 369 370 371 372 374 375 375 376 377 378 380 381 382 383 384 385 386 388 388 389 390 392 392 394 394 395 397 398 399 401 402 402 403 404 405 407 408 408 411 410 412 413 415 415 417 417 418 419 421 421 423 423 425 425 427 427 428 429 431 431 433 434 434 436 437 438 439 441 439 442 443 445 445 446 447 448 449 450 452 452 453 454 456 456 457 459 459 460 461 462 463 465 465 466 467 468 469 471 472 472 473 474 475 478 478 478 479 480 481 484 484 483 485 486 487 488 489 489 491 492 492 494 495 495 497 497 498 499 501 501 501 503 505 505 506 507 508 508 509 510 511 511 511 511 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0603
<CR>Time:2021/06/03 14:35
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 22 40 223 12697 
10 22 55 219 12938 
10 23 10 223 12998 
10 23 25 224 12998 
10 23 40 223 12998 
10 23 55 223 12998 
10 24 10 224 12998 
10 24 25 223 12998 
10 24 40 224 12998 
10 24 55 223 12998 
10 25 10 224 12998 
10 25 25 223 12998 
10 25 40 224 12998 
10 25 55 223 12998 
10 26 10 224 12998 
10 26 25 224 12998 
10 26 55 225 12998 
10 27 10 224 12998 
10 27 25 223 12998 
10 27 40 224 12998 
10 27 55 223 12998 
10 28 10 224 12998 
10 28 25 223 12998 
10 28 40 224 12998 
10 28 55 223 12998 
10 29 10 224 12998 
10 29 25 223 12998 
10 29 55 225 12998 
10 30 10 224 12998 
10 30 40 225 12998 
10 31 10 225 12998 
10 31 25 224 12998 
10 31 40 223 12998 
10 31 55 224 12998 
10 32 10 223 12998 
10 32 25 224 12998 
10 32 40 223 12998 
10 32 55 224 12998 
10 33 10 223 12998 
10 33 25 224 12998 
10 33 40 223 12998 
10 33 55 224 12998 
10 34 10 223 12998 
10 34 25 224 12998 
10 34 40 223 12998 
10 34 55 224 12998 
10 35 10 223 12998 
10 35 25 224 12998 
10 35 40 223 12998 
10 35 55 224 12998 
10 36 10 223 12998 
10 36 25 224 12998 
10 36 40 223 12998 
10 36 55 224 12998 
10 37 32 224 12998 
10 37 47 224 12998 
10 38 2 223 12998 
10 38 17 224 12998 
10 38 32 223 12998 
10 38 47 224 12998 
10 39 2 223 12998 
10 39 17 224 12998 
10 39 47 225 12998 
10 40 2 223 12998 
10 40 32 225 12998 
10 40 47 224 12998 
10 41 2 223 12998 
10 41 32 225 12998 
10 41 47 224 12998 
10 42 2 223 12998 
10 42 32 225 12998 
10 42 47 224 12998 
10 43 2 223 12998 
10 43 17 224 12998 
10 43 32 223 12998 
10 43 47 224 12998 
10 44 2 223 12998 
10 44 47 225 12998 
10 45 2 224 12998 
10 45 17 223 12998 
10 45 32 224 12998 
10 45 47 223 12998 
