ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/04 15:19      3360  1004
----A 2021/10/04 13:55    128640  10041339
----A 2021/10/04 14:11    128640  10041354
----A 2021/10/04 14:25    128640  10041410
----A 2021/10/04 14:41    128000  10041425
----A 2021/10/04 14:55    128640  10041440
----A 2021/10/04 15:11    128000  10041456
----A 2021/10/04 15:11      2560  10041511
----A 2021/10/05 15:15      8424  1005
----A 2021/10/05 10:59    128000  10051042
----A 2021/10/05 11:15    128000  10051058
----A 2021/10/05 11:31    128000  10051114
----A 2021/10/05 11:47    128000  10051130
----A 2021/10/05 12:03    128000  10051146
----A 2021/10/05 12:19    128000  10051202
----A 2021/10/05 12:35    128000  10051218
----A 2021/10/05 12:51    128000  10051234
----A 2021/10/05 13:07    128000  10051250
----A 2021/10/05 13:23    128000  10051306
----A 2021/10/05 13:39    128000  10051322
----A 2021/10/05 13:55    128000  10051338
----A 2021/10/05 14:11    128000  10051354
----A 2021/10/05 14:27    128000  10051410
----A 2021/10/05 14:43    128000  10051426
----A 2021/10/05 14:59    128000  10051442
----A 2021/10/05 15:15    128000  10051458
----A 2021/10/05 15:15      2560  10051514
----A 2021/10/06 14:51      8408  1006
----A 2021/10/06 10:37    128000  10061022
----A 2021/10/06 10:53    128000  10061038
----A 2021/10/06 11:09    128000  10061054
----A 2021/10/06 11:25    128000  10061110
----A 2021/10/06 11:41    128000  10061126
----A 2021/10/06 11:57    128000  10061142
----A 2021/10/06 12:13    128000  10061158
----A 2021/10/06 12:29    128000  10061214
----A 2021/10/06 12:45    128000  10061230
----A 2021/10/06 13:01    128000  10061246
----A 2021/10/06 13:17    128000  10061302
----A 2021/10/06 13:33    128000  10061318
----A 2021/10/06 13:49    128000  10061334
----A 2021/10/06 14:05    128000  10061350
----A 2021/10/06 14:21    128000  10061406
----A 2021/10/06 14:37    128000  10061422
----A 2021/10/06 14:39      2560  10061438

  45 File(s),   5022432 bytes total
   0 Dir(s),     995488K bytes free

/> 
read 1006
read 1006
<CR>Time:2021/10/06 14:39
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 7 15 25 11360 
10 7 30 25 13755 
10 7 45 25 15536 
10 8 0 25 15966 
10 8 15 25 16764 
10 8 30 25 17010 
10 8 45 25 17010 
10 9 0 25 17010 
10 9 15 25 17010 
10 9 30 25 17010 
10 9 45 25 17010 
10 10 0 25 17010 
10 10 15 25 17010 
10 10 30 25 17010 
10 10 45 25 17010 
10 11 0 25 17010 
10 11 15 25 17010 
10 11 30 25 17010 
10 11 45 25 17010 
10 12 0 25 17010 
10 12 15 25 16948 
10 12 30 25 17010 
10 12 45 25 17010 
10 13 0 25 16948 
10 13 15 25 16948 
10 13 30 25 16948 
10 13 45 25 16948 
10 14 0 25 16948 
10 14 15 25 16948 
10 14 30 25 17010 
10 14 45 25 17010 
10 15 0 25 17010 
10 15 15 25 17010 
10 15 30 25 17010 
10 15 45 25 17010 
10 16 0 25 17010 
10 16 15 25 17010 
10 16 30 25 17010 
10 16 45 25 17010 
10 17 0 25 17010 
10 17 15 25 17010 
10 17 30 25 17010 
10 17 45 25 17010 
10 18 0 25 17010 
10 18 15 25 17010 
10 18 30 25 17010 
10 18 45 25 17010 
10 19 0 25 17010 
10 19 15 25 17010 
10 19 30 25 17010 
10 19 45 25 17010 
10 20 0 25 17010 
10 20 15 25 17010 
10 20 30 25 17010 
10 20 45 25 17010 
10 21 0 25 17010 
10 21 15 25 17010 
10 22 46 25 17010 
10 23 1 25 17010 
10 23 16 25 17010 
10 23 31 25 17010 
10 23 46 25 17010 
10 24 1 25 17010 
10 24 16 25 17010 
10 24 31 25 17010 
10 24 46 25 17010 
10 25 1 25 17010 
10 25 16 25 17010 
10 25 31 25 17010 
10 25 46 25 17010 
10 26 1 25 17010 
10 26 16 25 17010 
10 26 31 25 17010 
10 26 46 25 17010 
10 27 1 25 17010 
10 27 16 25 17010 
10 27 31 25 17010 
10 27 46 25 17010 
10 28 1 25 17010 
10 28 16 25 17010 
10 28 31 25 17010 
10 28 46 25 17010 
10 29 1 25 17010 
10 29 16 25 17010 
10 29 31 25 17010 
10 29 46 25 17010 
10 30 1 25 17010 
10 30 16 25 17010 
10 30 31 25 17010 
10 30 46 25 17010 
10 31 1 25 17010 
10 31 16 25 17010 
10 31 31 25 17010 
10 31 46 25 17010 
10 32 1 25 17010 
10 32 16 25 17010 
10 32 31 25 17010 
10 32 46 25 17010 
10 33 1 25 17010 
10 33 16 25 17010 
10 33 31 25 17010 
10 33 46 25 17010 
10 34 1 25 17010 
10 34 16 25 17010 
10 34 31 25 17010 
10 34 46 25 17010 
10 35 1 25 17010 
10 35 16 25 17010 
10 35 31 25 17010 
10 35 46 25 17010 
10 36 1 25 17010 
10 36 16 25 17010 
10 36 31 25 17010 
10 36 46 25 17010 
10 37 1 25 17010 
10 37 16 25 17010 
10 38 46 25 17010 
10 39 1 25 17010 
10 39 16 25 17010 
10 39 31 25 17010 
10 39 46 25 17010 
10 40 1 25 17010 
10 40 16 25 17010 
10 40 31 25 17010 
10 40 46 25 17010 
10 41 1 25 17010 
10 41 16 25 17010 
10 41 31 25 17010 
10 41 46 25 17010 
10 42 1 25 17010 
10 42 16 25 17010 
10 42 31 25 17010 
10 42 46 25 17010 
10 43 1 25 17010 
10 43 16 25 17010 
10 43 31 25 17010 
10 43 46 25 17010 
10 44 1 25 17010 
10 44 16 25 17010 
10 44 31 25 17010 
10 44 46 25 17010 
10 45 1 25 17010 
10 45 16 25 17010 
10 45 31 25 17010 
10 45 46 25 17010 
10 46 1 25 17010 
10 46 16 25 17010 
10 46 31 25 17010 
10 46 46 25 17010 
10 47 1 25 17010 
10 47 16 25 17010 
10 47 31 25 17010 
10 47 46 25 17010 
10 48 1 25 17010 
10 48 16 25 17010 
10 48 31 25 17010 
10 48 46 25 17010 
10 49 1 25 17010 
10 49 16 25 17010 
10 49 31 25 17010 
10 49 46 25 17010 
10 50 1 25 17010 
10 50 16 25 17010 
10 50 31 25 17010 
10 50 46 25 17010 
10 51 1 25 17010 
10 51 16 25 17010 
10 51 31 25 17010 
10 51 46 25 17010 
10 52 1 25 17010 
10 52 16 25 17010 
10 52 31 25 17010 
10 52 46 25 17010 
10 53 1 25 17010 
10 53 16 25 17010 
10 54 46 25 17010 
10 55 1 25 17010 
10 55 16 25 17010 
10 55 31 25 17010 
10 55 46 25 17010 
10 56 1 25 17010 
10 56 16 25 17010 
10 56 31 25 17010 
10 56 46 25 17010 
10 57 1 25 17010 
10 57 16 25 17010 
10 57 31 25 17010 
10 57 46 25 17010 
10 58 1 25 17010 
10 58 16 25 17010 
10 58 31 25 17010 
10 58 46 25 17010 
10 59 1 25 17010 
10 59 16 25 17010 
10 59 31 25 17010 
10 59 46 25 17010 
11 0 1 25 17010 
11 0 16 25 17010 
11 0 31 25 17010 
11 0 46 25 17010 
11 1 1 25 17010 
11 1 16 25 17010 
11 1 31 25 17010 
11 1 46 25 17010 
11 2 1 25 17010 
11 2 16 25 17010 
11 2 31 25 17010 
11 2 46 25 17010 
11 3 1 25 17010 
11 3 16 25 17010 
11 3 31 25 17010 
11 3 46 25 17010 
11 4 1 25 17010 
11 4 16 25 17010 
11 4 31 25 17010 
11 4 46 25 17010 
11 5 1 25 17010 
11 5 16 25 17010 
11 5 31 25 17010 
11 5 46 25 17010 
11 6 1 25 17010 
11 6 16 25 17010 
11 6 31 25 17010 
11 6 46 25 17010 
11 7 1 25 17010 
11 7 16 25 17010 
11 7 31 25 17010 
11 7 46 25 17010 
11 8 1 25 17010 
11 8 16 25 17010 
11 8 31 25 17010 
11 8 46 25 17010 
11 9 1 25 17010 
11 9 16 25 17010 
11 10 46 25 17010 
11 11 1 25 17010 
11 11 16 25 17010 
11 11 31 25 17010 
11 11 46 25 17010 
11 12 1 25 17010 
11 12 16 25 17010 
11 12 31 25 17010 
11 12 46 25 17010 
11 13 1 25 17010 
11 13 16 25 17010 
11 13 31 25 17010 
11 13 46 25 17010 
11 14 1 25 17010 
11 14 16 25 17010 
11 14 31 25 17010 
11 14 46 25 17010 
11 15 1 25 17010 
11 15 16 25 17010 
11 15 31 25 17010 
11 15 46 25 17010 
11 16 1 25 17010 
11 16 16 25 17010 
11 16 31 25 17010 
11 16 46 25 17010 
11 17 1 25 17010 
11 17 16 25 17010 
11 17 31 25 17010 
11 17 46 25 17010 
11 18 1 25 17010 
11 18 16 25 17010 
11 18 31 25 17010 
11 18 46 25 17010 
11 19 1 25 17010 
11 19 16 25 17010 
11 19 31 25 17010 
11 19 46 25 17010 
11 20 1 25 17010 
11 20 16 25 17010 
11 20 31 25 17010 
11 20 46 25 17010 
11 21 1 25 17010 
11 21 16 25 17010 
11 21 31 25 17010 
11 21 46 25 17010 
11 22 1 25 17010 
11 22 16 25 17010 
11 22 31 25 17010 
11 22 46 25 17010 
11 23 1 25 17010 
11 23 16 25 16948 
11 23 31 25 17010 
11 23 46 25 17010 
11 24 1 25 17010 
11 24 16 25 17010 
11 24 31 25 17010 
11 24 46 25 16948 
11 25 1 25 17010 
11 25 16 25 17010 
