
/> 
read_ramp 06021122
<CR>Time:2021/06/02 15:24Ramp data first polarity: 
718 719 719 719 719 719 720 719 719 719 719 719 719 719 719 720 719 719 720 719 719 720 719 719 720 719 719 719 719 719 719 719 719 720 719 719 719 719 719 720 719 719 720 720 719 719 719 719 719 719 719 719 719 719 718 719 719 719 719 719 719 718 720 718 718 718 719 717 713 713 713 709 708 708 707 705 703 702 699 700 698 696 697 694 693 692 690 689 689 687 685 685 684 682 682 680 678 678 676 675 674 672 671 671 669 667 666 665 663 663 661 660 659 657 657 656 654 652 652 651 649 648 646 646 645 643 642 640 639 638 637 636 635 633 633 630 629 628 628 626 625 625 622 621 620 619 618 617 616 615 613 612 611 610 607 608 606 605 605 602 602 601 599 597 597 596 594 594 593 591 591 589 588 587 585 585 583 581 581 581 579 577 577 576 574 574 572 570 570 569 568 567 565 564 564 563 560 559 559 557 556 555 554 553 553 551 549 548 547 546 545 544 542 542 541 539 538 538 536 535 534 533 532 531 530 530 527 526 525 525 523 522 521 520 520 518 516 516 515 514 513 512 510 511 509 507 508 506 506 506 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0602
<CR>Time:2021/06/02 15:24
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 8 28 224 13165 
9 8 43 219 13165 
9 8 58 224 13165 
9 9 13 224 13165 
9 9 28 224 13165 
9 9 43 224 13165 
9 9 58 224 13165 
9 10 13 224 13165 
9 10 28 224 13165 
9 10 43 224 13165 
9 10 58 224 13165 
9 11 13 224 13165 
9 11 28 224 13165 
9 11 43 224 13165 
9 11 58 224 13165 
9 12 13 224 13165 
9 12 28 224 13165 
9 12 43 224 13165 
9 12 58 224 13165 
9 13 13 224 13165 
9 13 28 224 13165 
9 13 43 224 13165 
9 13 58 224 13165 
9 14 13 224 13165 
9 14 28 224 13165 
9 14 43 224 13165 
9 14 58 224 13165 
9 15 13 223 13165 
9 15 28 224 13165 
9 15 43 224 13165 
9 15 58 224 13165 
9 16 13 224 13165 
9 16 28 224 13103 
9 16 43 224 13042 
9 16 58 224 13042 
9 17 13 224 13042 
9 17 28 224 13042 
9 17 43 224 13042 
9 17 58 224 13042 
9 18 13 224 13042 
9 18 28 224 13042 
9 18 43 224 13042 
9 18 58 224 13042 
9 19 13 224 13042 
9 19 28 224 13042 
9 19 43 224 13042 
9 19 58 224 13042 
9 20 13 224 13042 
9 20 28 224 13042 
9 20 43 224 13042 
9 20 58 224 13042 
9 21 13 224 13042 
9 21 50 224 13042 
9 22 5 224 13042 
9 22 20 223 13042 
9 22 35 224 13042 
9 22 50 224 13042 
9 23 5 224 13042 
9 23 20 224 13042 
9 23 35 224 13042 
9 23 50 224 13042 
9 24 5 224 13042 
9 24 20 224 13042 
9 24 35 224 13042 
9 24 50 224 13042 
9 25 5 224 13042 
9 25 20 224 13042 
9 25 35 224 13042 
9 25 50 224 13042 
9 26 5 224 13042 
9 26 20 224 13042 
9 26 35 224 13042 
9 26 50 224 13042 
9 27 5 224 13042 
9 27 20 224 13042 
9 27 35 224 13042 
9 27 50 224 13042 
9 28 5 224 13042 
9 28 20 224 13042 
9 28 35 224 13042 
9 28 50 224 13042 
9 29 5 224 13042 
9 29 20 224 13042 
9 29 35 224 13042 
9 29 50 224 13042 
9 30 5 223 13042 
9 30 20 224 13042 
9 30 35 224 13042 
9 30 51 224 13042 
9 31 6 224 13042 
9 31 21 224 13042 
9 31 36 224 13042 
9 31 51 224 13042 
9 32 6 224 13042 
9 32 21 224 13042 
9 32 36 224 13042 
9 32 51 224 13042 
9 33 6 224 13042 
9 33 21 224 13042 
9 33 36 224 13042 
9 33 51 224 13042 
9 34 6 224 13042 
9 34 21 224 13042 
9 34 36 224 13042 
9 34 51 224 13042 
9 35 6 224 13042 
9 35 21 224 13042 
9 35 36 224 13042 
9 35 51 224 13042 
9 36 6 224 13042 
9 36 21 224 13042 
9 36 58 224 13042 
9 37 13 224 13042 
9 37 28 224 13042 
9 37 43 224 13042 
9 37 58 224 13042 
9 38 13 224 13042 
9 38 28 224 13042 
9 38 43 224 13042 
9 38 58 224 13042 
9 39 13 224 13042 
9 39 28 224 13042 
9 39 43 224 13042 
9 39 58 224 13042 
9 40 13 224 13042 
9 40 28 224 13042 
9 40 43 224 13042 
9 40 58 224 13042 
9 41 13 224 13042 
9 41 28 224 13042 
9 41 43 224 13042 
9 41 58 224 13042 
9 42 13 224 13042 
9 42 28 224 13042 
9 42 43 224 13042 
9 42 58 224 13042 
9 43 13 223 13042 
9 43 28 224 13042 
9 43 43 224 13042 
9 43 58 224 13042 
9 44 13 224 13042 
9 44 28 224 13042 
9 44 43 224 13042 
9 44 58 224 13042 
9 45 13 224 13042 
9 45 28 224 13042 
9 45 43 224 13042 
9 45 58 224 13042 
9 46 13 224 13042 
9 46 28 224 13042 
9 46 43 224 13042 
9 46 58 224 13042 
9 47 13 224 13042 
9 47 28 224 13042 
9 47 43 224 13042 
9 47 58 224 13042 
9 48 13 224 13042 
9 48 28 224 13042 
9 48 43 224 13042 
9 48 58 224 13042 
9 49 13 224 13042 
9 49 28 224 13042 
9 49 43 224 13042 
9 49 58 223 13042 
9 50 13 224 13042 
9 50 28 224 13042 
9 50 43 224 13042 
9 50 58 224 13042 
9 51 13 224 13042 
9 51 28 224 13042 
9 52 5 224 13042 
9 52 20 224 13042 
9 52 35 224 13042 
9 52 50 224 13042 
9 53 5 224 13042 
9 53 20 224 13042 
9 53 35 224 13042 
9 53 50 224 13042 
9 54 5 224 13042 
9 54 20 224 13042 
9 54 35 224 13042 
9 54 50 224 13042 
9 55 5 224 13042 
9 55 20 224 13042 
9 55 35 224 13042 
9 55 50 224 13042 
9 56 5 224 13042 
9 56 20 223 13042 
9 56 35 224 13042 
9 56 50 224 13042 
9 57 5 224 13042 
9 57 20 224 13042 
9 57 35 224 13042 
9 57 50 224 13042 
9 58 5 224 13042 
9 58 20 224 13042 
9 58 35 224 13042 
9 58 50 224 13042 
9 59 5 224 13042 
9 59 20 224 13042 
9 59 35 224 13042 
9 59 50 224 13042 
10 0 5 224 13042 
10 0 20 224 13042 
10 0 35 224 13042 
10 0 50 224 13042 
10 1 5 224 13042 
10 1 20 224 13042 
10 1 35 224 13042 
10 1 50 224 13042 
10 2 5 224 13042 
10 2 20 224 13042 
10 2 35 224 13042 
10 2 50 224 13042 
10 3 5 224 13042 
10 3 20 223 13042 
10 3 35 224 13042 
10 3 50 224 13042 
10 4 5 224 13042 
10 4 20 224 13042 
10 4 35 224 13042 
10 4 50 224 13042 
10 5 5 224 13042 
10 5 20 224 13042 
10 5 35 224 13042 
10 5 50 224 13042 
10 6 5 224 13042 
10 6 20 224 13042 
10 6 35 224 13042 
10 7 12 224 13042 
10 7 27 224 13042 
10 7 42 224 13042 
10 7 57 224 13042 
10 8 12 224 13042 
10 8 27 224 13042 
10 8 42 224 13042 
10 8 57 224 13042 
10 9 12 224 13042 
10 9 27 223 13042 
10 9 42 224 13042 
10 9 57 224 13042 
10 10 12 224 13042 
10 10 27 224 13042 
10 10 42 224 13042 
10 10 57 224 13042 
10 11 12 224 13042 
10 11 27 224 13042 
10 11 42 224 13042 
10 11 57 224 13042 
10 12 12 224 13042 
10 12 27 224 13042 
10 12 42 224 13042 
10 12 57 224 13042 
10 13 12 224 13042 
10 13 27 224 13042 
10 13 42 224 13042 
10 13 57 224 13042 
10 14 12 224 13042 
10 14 27 224 13042 
10 14 42 224 13042 
10 14 57 224 13042 
