

/> 
read_ramp 05291105
<CR>Time:2021/05/29 15:07Ramp data first polarity: 
274 273 275 274 274 275 274 274 274 274 274 274 274 274 274 274 274 274 274 274 275 274 274 275 274 274 275 274 273 275 274 274 274 274 274 274 274 274 275 275 274 275 274 274 274 274 274 275 274 274 275 274 274 275 274 274 275 274 274 274 275 274 275 275 277 280 278 279 280 282 284 286 287 288 291 291 292 295 296 297 299 299 301 302 303 304 307 307 309 311 311 313 315 315 317 318 319 321 322 323 325 326 327 329 331 331 333 334 335 336 338 339 340 343 343 345 347 347 349 350 351 351 354 355 356 358 359 360 362 363 364 366 367 368 370 370 372 374 374 376 378 378 379 381 382 383 385 386 386 389 389 391 393 394 394 396 398 398 400 402 402 405 405 405 408 409 410 411 412 413 416 416 417 419 419 421 423 423 425 426 428 428 430 431 432 433 434 435 436 438 439 441 442 443 444 445 446 448 449 450 451 452 454 455 457 457 458 459 460 462 463 464 465 467 468 469 471 471 473 474 475 476 477 478 479 480 482 483 485 485 486 488 489 490 491 492 493 494 496 496 498 499 500 501 500 502 502 505 504 503 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0529
<CR>Time:2021/05/29 15:07
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 35 58 224 12062 
9 36 13 219 13593 
9 36 28 224 13961 
9 36 43 224 14022 
9 36 58 224 14083 
9 37 13 224 14083 
9 37 28 224 14083 
9 37 43 224 14083 
9 37 58 224 14083 
9 38 13 224 14083 
9 38 28 224 14083 
9 38 43 224 14083 
9 38 58 224 14083 
9 39 13 224 14083 
9 39 28 224 14083 
9 39 43 224 14083 
9 39 58 224 14083 
9 40 13 224 14083 
9 40 28 224 14083 
9 40 43 224 14083 
9 40 58 224 14083 
9 41 13 224 14083 
9 41 28 224 14083 
9 41 43 224 14083 
9 41 58 224 14083 
9 42 13 224 14083 
9 42 28 224 14083 
9 42 43 224 14083 
9 42 58 224 14083 
9 43 13 224 14083 
9 43 28 224 14083 
9 43 43 224 14083 
9 43 58 224 14083 
9 44 13 224 14083 
9 44 28 224 14083 
9 44 43 224 14083 
9 44 58 224 14083 
9 45 13 224 14083 
9 45 28 224 14083 
9 45 43 224 14083 
9 45 58 224 14083 
9 46 13 224 14083 
9 46 28 224 14083 
9 46 43 224 14083 
9 46 58 224 14083 
9 47 13 224 14083 
9 47 28 224 14083 
9 47 43 224 14083 
9 47 58 224 14083 
9 48 13 224 14083 
9 48 28 224 14083 
9 48 43 224 14083 
9 48 58 224 14083 
9 49 13 224 14083 
9 49 28 224 14083 
9 50 5 224 14083 
9 50 20 224 14083 
9 50 35 224 14083 
9 50 50 224 14083 
9 51 5 224 14083 
9 51 20 224 14083 
9 51 35 224 14083 
9 51 50 224 14083 
9 52 5 224 14083 
9 52 20 224 14083 
9 52 35 224 14083 
9 52 50 224 14083 
9 53 5 224 14083 
9 53 20 224 14083 
9 53 35 224 14083 
9 53 50 224 14083 
9 54 5 224 14083 
9 54 20 224 14083 
9 54 35 224 14083 
9 54 50 224 14083 
9 55 5 224 14083 
9 55 20 224 14083 
9 55 35 224 14083 
9 55 50 224 14083 
9 56 5 224 14083 
9 56 20 224 14083 
9 56 35 224 14083 
9 56 50 224 14083 
9 57 5 224 14083 
9 57 20 224 14083 
9 57 35 224 14083 
9 57 50 224 14083 
9 58 5 224 14083 
9 58 20 224 14083 
9 58 35 224 14083 
9 58 50 224 14083 
9 59 5 224 14083 
9 59 20 224 14083 
9 59 35 224 14083 
9 59 50 224 14083 
10 0 5 224 14083 
10 0 20 224 14083 
10 0 35 224 14083 
10 0 50 224 14083 
10 1 5 224 14083 
10 1 20 224 14083 
10 1 35 224 14083 
10 1 50 224 14083 
10 2 5 224 14083 
10 2 20 224 14083 
10 2 35 224 14083 
10 2 50 224 14083 
10 3 5 224 14083 
10 3 20 224 14083 
10 3 35 224 14083 
10 3 50 224 14083 
10 4 5 224 14083 
10 4 20 224 14083 
10 4 35 224 14083 
10 5 27 224 14083 
10 5 42 224 14083 
10 5 57 224 14083 
10 6 12 224 14083 
10 6 27 224 14083 
10 6 42 224 14083 
10 6 57 224 14083 
10 7 12 224 14083 
10 7 27 224 14083 
10 7 42 224 14083 
10 7 57 224 14083 
