
/> 
read_ramp 06021122
<CR>Time:2021/06/02 15:23Ramp data first polarity: 
296 295 296 296 296 295 296 296 295 296 296 295 295 295 296 296 296 297 296 295 295 296 296 296 295 296 295 295 296 295 296 296 296 296 295 296 295 295 296 296 296 296 295 295 295 295 296 295 297 296 295 296 296 296 296 295 296 295 295 296 295 296 296 306 302 299 301 301 302 304 307 308 310 311 312 314 315 316 318 320 320 321 322 324 325 327 328 330 330 331 332 334 335 336 338 339 340 342 343 344 345 345 348 349 350 351 352 354 355 356 358 359 359 361 362 364 365 367 368 368 369 371 372 374 374 375 377 378 379 380 382 383 384 386 386 389 389 390 391 392 394 395 396 397 398 400 401 402 404 404 405 407 407 409 411 412 413 414 415 416 418 418 420 421 423 423 424 426 426 428 429 431 432 433 434 434 436 437 439 440 441 442 443 445 445 446 449 449 450 451 452 453 454 456 457 458 458 459 461 463 463 465 466 466 468 468 470 471 473 474 474 475 477 477 479 480 481 484 484 484 486 486 488 489 491 491 492 493 494 495 497 498 498 501 501 501 503 504 504 506 507 508 509 509 509 511 511 512 512 514 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0602
<CR>Time:2021/06/02 15:23
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 6 47 223 12938 
9 7 2 219 13058 
9 7 17 224 13058 
9 7 32 224 13058 
9 7 47 224 13058 
9 8 2 224 13058 
9 8 17 224 13058 
9 8 32 224 13058 
9 8 47 224 13058 
9 9 2 224 13058 
9 9 17 224 13058 
9 9 32 224 13058 
9 9 47 224 13058 
9 10 2 224 13058 
9 10 17 224 13058 
9 10 32 224 13058 
9 10 47 224 13058 
9 11 2 224 13058 
9 11 17 224 13058 
9 11 32 224 13058 
9 11 47 224 13058 
9 12 2 223 13058 
9 12 17 224 13058 
9 12 32 224 13058 
9 12 47 224 13058 
9 13 2 224 13058 
9 13 17 224 13058 
9 13 32 224 13058 
9 13 47 224 13058 
9 14 2 224 13058 
9 14 17 224 13058 
9 14 32 224 13058 
9 14 47 224 13058 
9 15 2 224 13058 
9 15 17 224 12998 
9 15 32 224 12998 
9 15 47 224 12998 
9 16 2 224 12998 
9 16 17 224 12998 
9 16 32 224 12998 
9 16 47 224 12998 
9 17 2 224 12998 
9 17 17 224 12998 
9 17 32 224 12998 
9 17 47 224 12998 
9 18 2 224 12998 
9 18 17 224 12998 
9 18 32 224 12998 
9 18 47 224 12998 
9 19 2 224 12998 
9 19 17 224 12998 
9 19 32 224 12998 
9 19 47 224 12998 
9 20 2 224 12998 
9 20 17 223 12998 
9 20 32 224 12998 
9 20 47 224 12998 
9 21 2 224 12998 
9 21 38 224 12998 
9 21 53 224 12998 
9 22 8 224 12998 
9 22 23 224 12998 
9 22 38 224 12998 
9 22 53 224 12998 
9 23 8 224 12998 
9 23 23 224 12998 
9 23 38 224 12998 
9 23 53 224 12998 
9 24 8 224 12998 
9 24 23 224 12998 
9 24 38 224 12998 
9 24 53 224 12998 
9 25 8 224 12998 
9 25 23 224 12998 
9 25 38 224 12998 
9 25 53 224 12998 
9 26 8 224 12998 
9 26 23 224 12998 
9 26 38 224 12998 
9 26 53 223 12998 
9 27 8 224 12998 
9 27 23 224 12998 
9 27 38 224 12998 
9 27 53 224 12998 
9 28 8 224 12998 
9 28 23 224 12998 
9 28 38 224 12998 
9 28 53 224 12998 
9 29 8 224 12998 
9 29 23 224 12998 
9 29 38 224 12998 
9 29 53 224 12998 
9 30 8 224 12998 
9 30 23 224 12998 
9 30 38 224 12998 
9 30 53 224 12998 
9 31 8 224 12998 
9 31 23 224 12998 
9 31 38 224 12998 
9 31 53 224 12998 
9 32 8 224 12998 
9 32 23 224 12998 
9 32 38 224 12998 
9 32 53 224 12998 
9 33 8 224 12998 
9 33 23 224 12998 
9 33 38 224 12998 
9 33 53 224 12998 
9 34 8 224 12998 
9 34 23 223 12998 
9 34 38 224 12998 
9 34 53 224 12998 
9 35 8 224 12998 
9 35 23 224 12998 
9 35 38 224 12998 
9 35 53 224 12998 
9 36 8 224 12998 
9 36 45 224 12998 
9 37 0 224 12998 
9 37 15 224 12998 
9 37 30 224 12998 
9 37 45 224 12998 
9 38 0 224 12998 
9 38 15 224 12998 
9 38 30 224 12998 
9 38 45 224 12998 
9 39 0 224 12998 
9 39 15 224 12998 
9 39 30 224 12998 
9 39 45 224 12998 
9 40 0 223 12998 
9 40 15 224 12998 
9 40 30 224 12998 
9 40 45 224 12998 
9 41 0 224 12998 
9 41 15 224 12998 
9 41 30 224 12998 
9 41 45 224 12998 
9 42 0 224 12998 
9 42 15 224 12998 
9 42 30 224 12998 
9 42 45 224 12998 
9 43 0 224 12998 
9 43 15 224 12998 
9 43 30 224 12998 
9 43 45 224 12998 
9 44 0 224 12998 
9 44 15 224 12998 
9 44 30 224 12998 
9 44 45 224 12998 
9 45 0 224 12998 
9 45 15 224 12998 
9 45 30 224 12998 
9 45 45 224 12998 
9 46 0 224 12998 
9 46 15 224 12998 
9 46 30 224 12998 
9 46 45 224 12998 
9 47 0 224 12998 
9 47 15 224 12998 
9 47 30 223 12998 
9 47 45 224 12998 
9 48 0 224 12998 
9 48 15 224 12998 
9 48 30 224 12998 
9 48 45 224 12998 
9 49 0 224 12998 
9 49 15 224 12998 
9 49 30 224 12998 
9 49 45 224 12998 
9 50 0 224 12998 
9 50 15 224 12998 
9 50 30 224 12998 
9 50 45 224 12998 
9 51 0 224 12998 
9 51 15 224 12998 
9 51 52 224 12998 
9 52 7 224 12998 
9 52 22 224 12998 
9 52 37 224 12998 
9 52 52 224 12998 
9 53 7 223 12998 
9 53 22 224 12998 
9 53 37 224 12998 
9 53 52 224 12998 
9 54 7 224 12998 
9 54 22 224 12998 
9 54 37 224 12998 
9 54 52 224 12998 
9 55 7 224 12998 
9 55 22 224 12998 
9 55 37 224 12998 
9 55 52 224 12998 
9 56 7 224 12998 
9 56 22 224 12998 
9 56 37 224 12998 
9 56 52 224 12998 
9 57 7 224 12998 
9 57 22 224 12998 
9 57 37 224 12998 
9 57 52 224 12998 
9 58 7 224 12998 
9 58 22 224 12998 
9 58 37 224 12998 
9 58 52 224 12998 
9 59 7 224 12998 
9 59 22 224 12998 
9 59 37 224 12998 
9 59 52 224 12998 
10 0 7 224 12998 
10 0 22 224 12998 
10 0 37 224 12998 
10 0 52 224 12998 
10 1 7 224 12998 
10 1 22 224 12998 
10 1 37 224 12998 
10 1 52 224 12998 
10 2 7 224 12998 
10 2 22 224 12998 
10 2 37 224 12998 
10 2 52 224 12998 
10 3 7 224 12998 
