

/> 
read_ramp 05291105
<CR>Time:2021/05/29 15:07Ramp data first polarity: 
278 278 278 279 278 278 279 279 278 279 279 278 278 278 279 279 278 277 278 278 278 279 279 279 279 277 278 278 278 278 278 279 278 278 278 278 278 279 279 279 278 279 278 278 278 278 278 279 278 278 279 278 278 279 279 278 278 278 278 279 278 278 279 280 279 270 280 283 285 284 286 289 290 291 293 294 296 298 299 301 301 303 305 306 308 309 310 312 312 314 315 316 317 320 321 323 323 325 326 327 329 330 332 333 333 335 337 338 340 341 342 344 345 346 347 349 350 351 353 355 356 357 359 360 362 362 363 365 366 367 369 370 371 373 374 376 377 378 379 381 383 382 384 386 387 389 389 390 392 393 394 396 398 399 399 401 402 404 405 407 407 409 410 411 413 414 414 417 418 419 421 421 423 424 425 426 428 429 430 431 433 435 435 437 438 438 439 441 442 444 445 447 448 448 450 452 453 454 455 456 457 458 460 461 462 463 464 466 468 468 469 470 472 473 475 475 477 478 478 480 482 483 484 485 487 487 488 490 491 492 493 493 495 497 498 499 499 501 502 504 505 506 506 507 508 509 511 510 511 512 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0529
<CR>Time:2021/05/29 15:07
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 34 54 223 10470 
9 35 9 219 13058 
9 35 24 224 13840 
9 35 39 224 13901 
9 37 17 224 14021 
9 37 32 224 14021 
9 37 47 224 14021 
9 38 2 223 14021 
9 38 17 224 14021 
9 38 32 224 14021 
9 38 47 224 14021 
9 39 2 224 14021 
9 39 17 224 14021 
9 39 32 224 14021 
9 39 47 224 14021 
9 40 2 224 14021 
9 40 17 224 14021 
9 40 32 224 14021 
9 40 47 224 14021 
9 41 2 224 14021 
9 41 17 224 14021 
9 41 32 224 14021 
9 41 47 224 14021 
9 42 2 224 14021 
9 42 17 224 14021 
9 42 32 224 14021 
9 42 47 224 14021 
9 43 2 224 14021 
9 43 17 224 14021 
9 43 32 224 14021 
9 43 47 224 14021 
9 44 2 224 14021 
9 44 17 224 14021 
9 44 32 224 14021 
9 44 47 224 14021 
9 45 2 224 14021 
9 45 17 224 14021 
9 45 32 224 14021 
9 45 47 224 14021 
9 46 2 224 14021 
9 46 17 224 14021 
9 46 32 224 14021 
9 46 47 224 14021 
9 47 2 224 14021 
9 47 17 224 14021 
9 47 32 224 14021 
9 47 47 224 14021 
9 48 2 224 14021 
9 48 17 224 14021 
9 48 32 224 14021 
9 48 47 224 14021 
9 49 2 224 14021 
9 49 17 224 14021 
9 49 32 224 14021 
9 49 47 224 14021 
9 50 2 224 14021 
9 50 39 224 14021 
9 50 54 224 14021 
9 51 9 224 14021 
9 51 24 224 14021 
9 51 39 224 14021 
9 51 54 224 14021 
9 52 9 224 14021 
9 52 24 224 14021 
9 52 39 224 14021 
9 52 54 223 14021 
9 53 9 224 14021 
9 53 24 224 14021 
9 53 39 224 14021 
9 53 54 224 14021 
9 54 9 224 14021 
9 54 24 224 14021 
